customer_id,churned,churn_date,churn_reason,churn_probability_raw,clv_egp
C10079,0,,No churn,0.6115,10569.53
C10080,0,,No churn,0.2195,13051.19
C10081,1,2024-12-25,Network quality,0.6264,9006.48
C10082,1,2024-09-18,Poor service,0.8808,44622.37
C10083,1,2024-08-05,Competitor offer,0.7038,38448.28
C10084,1,2024-10-14,Price,0.6689,10697.65
C10085,0,,No churn,0.2003,21108.92
C10086,0,,No churn,0.1762,11288.65
C10087,0,,No churn,0.616,23820.94
C10088,1,2024-12-03,Other,0.3361,9022.42
C10089,1,2024-11-10,Competitor offer,0.6921,21283.0
C10090,1,2024-08-22,Competitor offer,0.2717,9546.77
C10091,1,2024-11-04,Poor service,0.6884,67528.41
C10092,1,2024-11-10,Price,0.7105,18249.67
C10093,0,,No churn,0.0741,13434.32
C10094,1,2024-07-09,Network quality,0.4848,41950.55
C10095,1,2024-08-12,Competitor offer,0.8498,7639.51
C10096,1,2024-10-27,Network quality,0.4842,5574.7
C10097,0,,No churn,0.7878,41376.83
C10098,0,,No churn,0.2073,13624.0
C10099,1,2024-07-16,Price,0.3681,11768.86
C10100,1,2024-09-05,Poor service,0.6867,37299.06
C10101,0,,No churn,0.5721,30048.26
C10102,1,2024-11-14,Price,0.5023,55682.27
C10103,1,2024-07-24,Price,0.478,41685.72
C10104,1,2024-08-11,Poor service,0.5436,6096.55
C10105,0,,No churn,0.4613,8538.43
C10106,1,2024-10-08,Other,0.3332,2280.76
C10107,0,,No churn,0.6149,25084.69
C10108,1,2024-07-19,Network quality,0.9453,29931.7
C10109,1,2024-11-07,Network quality,0.8367,37125.1
C10110,0,,No churn,0.7335,19540.94
C10111,1,2024-08-14,Price,0.6091,23359.76
C10112,0,,No churn,0.1876,5955.5
C10113,0,,No churn,0.2126,13560.72
C10114,0,,No churn,0.0642,5927.1
C10115,0,,No churn,0.6017,21475.83
C10116,1,2024-07-14,Poor service,0.4525,5958.74
C10117,1,2024-10-12,Poor service,0.1953,11205.49
C10118,0,,No churn,0.2764,16926.99
C10119,1,2024-12-15,Price,0.8519,12376.13
C10120,0,,No churn,0.3506,20432.51
C10121,1,2024-12-25,Competitor offer,0.8786,19924.5
C10122,1,2024-12-05,Poor service,0.7095,13743.79
C10123,0,,No churn,0.208,24076.0
C10124,1,2024-09-19,Price,0.7295,48556.96
C10125,0,,No churn,0.1212,4189.36
C10126,1,2024-12-12,Competitor offer,0.1641,16566.4
C10127,1,2024-11-21,Poor service,0.6669,18554.78
C10128,0,,No churn,0.3467,20122.49
C10129,0,,No churn,0.2557,8368.8
C10130,0,,No churn,0.2418,11973.74
C10131,0,,No churn,0.5899,39755.29
C10132,0,,No churn,0.6626,13094.6
C10133,0,,No churn,0.0897,17660.23
C10134,0,,No churn,0.1018,6313.48
C10135,0,,No churn,0.6219,7372.8
C10136,0,,No churn,0.2949,3568.35
C10137,0,,No churn,0.4603,10426.2
C10138,1,2024-11-10,Price,0.7499,6455.82
C10139,0,,No churn,0.1342,9271.53
C10140,0,,No churn,0.4995,24002.59
C10141,1,2024-07-17,Competitor offer,0.7376,16613.28
C10142,0,,No churn,0.2796,6903.35
C10143,0,,No churn,0.2985,4316.76
C10144,1,2024-07-10,Price,0.8789,10840.53
C10145,0,,No churn,0.2502,17140.33
C10146,1,2024-11-16,Moving,0.6062,10709.96
C10147,0,,No churn,0.1714,14481.54
C10148,1,2024-07-13,Competitor offer,0.2441,5051.5
C10149,1,2024-08-25,Network quality,0.6444,5979.74
C10150,1,2024-12-03,Moving,0.5918,27782.6
C10151,1,2024-09-25,Other,0.1873,4212.61
C10152,1,2024-10-10,Network quality,0.7004,34191.84
C10153,0,,No churn,0.5452,21791.83
C10154,0,,No churn,0.5682,4699.86
C10155,0,,No churn,0.175,10157.61
C10156,0,,No churn,0.1737,3110.19
C10157,1,2024-08-07,Network quality,0.314,11116.71
C10158,0,,No churn,0.3198,18659.28
C10159,1,2024-10-28,Network quality,0.9223,25287.61
C10160,1,2024-09-12,Poor service,0.129,20932.56
C10161,1,2024-10-02,Moving,0.4724,19273.63
C10162,1,2024-11-05,Network quality,0.2488,15193.73
C10163,0,,No churn,0.6717,16929.29
C10164,0,,No churn,0.2361,25075.25
C10165,0,,No churn,0.6165,24658.98
C10166,0,,No churn,0.1372,8104.99
C10167,0,,No churn,0.3211,15201.32
C10168,1,2024-10-28,Other,0.2489,11331.82
C10169,0,,No churn,0.4181,6964.46
C10170,0,,No churn,0.5351,7275.93
C10171,1,2024-07-15,Network quality,0.3618,10749.29
C10172,1,2024-10-22,Price,0.1886,4364.55
C10173,0,,No churn,0.2611,31233.3
C10174,0,,No churn,0.5269,11369.6
C10175,0,,No churn,0.205,5852.3
C10176,0,,No churn,0.6253,45650.21
C10177,0,,No churn,0.4862,4885.64
C10178,1,2024-10-24,Network quality,0.6686,21860.17
C10179,1,2024-12-27,Price,0.7992,9127.84
C10180,1,2024-11-23,Price,0.8987,10466.09
C10181,1,2024-08-09,Price,0.3133,27394.92
C10182,1,2024-09-28,Poor service,0.3525,6071.4
C10183,1,2024-07-18,Price,0.9135,30754.59
C10184,0,,No churn,0.1797,4200.22
C10185,0,,No churn,0.1042,6135.14
C10186,0,,No churn,0.1917,15908.99
C10187,0,,No churn,0.6952,25816.85
C10188,1,2024-10-23,Network quality,0.2885,15738.7
C10189,0,,No churn,0.1975,17912.48
C10190,1,2024-08-21,Network quality,0.6883,12595.09
C10191,0,,No churn,0.7391,33556.67
C10192,0,,No churn,0.2545,2737.31
C10193,0,,No churn,0.4249,38742.55
C10194,1,2024-08-08,Poor service,0.815,10913.07
C10195,1,2024-08-10,Competitor offer,0.571,10263.26
C10196,0,,No churn,0.4221,15998.46
C10197,0,,No churn,0.4126,13331.55
C10198,0,,No churn,0.1956,6286.47
C10199,0,,No churn,0.2273,8508.4
C10200,0,,No churn,0.582,7467.13
C10201,1,2024-12-11,Network quality,0.6925,39710.32
C10202,1,2024-11-03,Moving,0.3696,7040.02
C10203,1,2024-12-04,Other,0.8584,29785.61
C10204,0,,No churn,0.4937,22696.32
C10205,1,2024-10-22,Price,0.7902,11876.5
C10206,0,,No churn,0.4503,6956.53
C10207,1,2024-11-24,Competitor offer,0.2922,6886.35
C10208,1,2024-08-24,Network quality,0.1769,3008.53
C10209,1,2024-09-03,Network quality,0.5471,31290.68
C10210,0,,No churn,0.2407,26862.16
C10211,1,2024-12-16,Other,0.4993,9191.74
C10212,0,,No churn,0.5594,6336.53
C10213,1,2024-09-28,Price,0.5018,13123.43
C10214,0,,No churn,0.3376,10379.36
C10215,0,,No churn,0.3743,9676.84
C10216,0,,No churn,0.2147,14251.01
C10217,0,,No churn,0.3323,5700.39
C10218,0,,No churn,0.6781,5314.22
C10219,0,,No churn,0.1088,15417.75
C10220,0,,No churn,0.1504,13037.54
C10221,0,,No churn,0.2637,10637.95
C10222,1,2024-10-28,Price,0.0767,7708.83
C10223,0,,No churn,0.3293,7662.36
C10224,0,,No churn,0.2846,12511.33
C10225,1,2024-07-09,Network quality,0.452,19346.19
C10226,1,2024-12-21,Price,0.5048,18545.16
C10227,0,,No churn,0.3205,6698.44
C10228,0,,No churn,0.7458,14108.73
C10229,1,2024-12-14,Network quality,0.2439,5078.37
C10230,0,,No churn,0.5053,4509.88
C10231,0,,No churn,0.2076,2577.03
C10232,1,2024-08-05,Moving,0.3541,15246.12
C10233,1,2024-07-02,Moving,0.3383,16316.53
C10234,0,,No churn,0.3806,14223.3
C10235,1,2024-09-14,Network quality,0.2613,22595.42
C10236,0,,No churn,0.122,5640.23
C10237,1,2024-09-02,Price,0.8555,7788.33
C10238,0,,No churn,0.3629,29750.44
C10239,0,,No churn,0.4369,20935.53
C10240,0,,No churn,0.3068,5388.64
C10241,0,,No churn,0.3559,6315.89
C10242,1,2024-12-07,Price,0.5992,5562.07
C10243,0,,No churn,0.5591,12976.42
C10244,0,,No churn,0.3748,7361.24
C10245,1,2024-08-19,Poor service,0.664,13918.16
C10246,0,,No churn,0.3264,23116.93
C10247,0,,No churn,0.1826,7359.15
C10248,0,,No churn,0.4072,7916.1
C10249,0,,No churn,0.2516,12502.77
C10250,0,,No churn,0.4014,12040.87
C10251,1,2024-09-18,Moving,0.7211,15293.75
C10252,0,,No churn,0.528,11620.48
C10253,1,2024-08-27,Poor service,0.8262,11231.31
C10254,1,2024-08-03,Other,0.3466,10596.69
C10255,0,,No churn,0.5005,22131.55
C10256,1,2024-07-19,Price,0.3995,13104.98
C10257,1,2024-09-14,Price,0.7018,10794.06
C10258,1,2024-09-19,Competitor offer,0.8566,14119.95
C10259,0,,No churn,0.2817,21904.17
C10260,0,,No churn,0.2282,13289.85
C10261,1,2024-12-21,Competitor offer,0.5841,12678.57
C10262,0,,No churn,0.6638,26997.74
C10263,0,,No churn,0.2024,4953.37
C10264,0,,No churn,0.3703,19629.16
C10265,0,,No churn,0.403,22489.15
C10266,0,,No churn,0.1588,20822.23
C10267,0,,No churn,0.2286,7846.16
C10268,0,,No churn,0.1575,10783.94
C10269,1,2024-10-27,Moving,0.7506,25202.73
C10270,1,2024-10-12,Poor service,0.8203,25094.35
C10271,1,2024-08-16,Poor service,0.3461,9780.77
C10272,0,,No churn,0.084,8378.91
C10273,1,2024-10-15,Poor service,0.8353,7826.93
C10274,1,2024-09-18,Poor service,0.3901,31955.52
C10275,1,2024-07-24,Competitor offer,0.4101,16462.3
C10276,1,2024-09-02,Poor service,0.5588,28048.98
C10277,1,2024-11-17,Poor service,0.2435,14490.07
C10278,0,,No churn,0.245,3224.93
C10279,1,2024-08-20,Competitor offer,0.7895,16652.94
C10280,1,2024-12-27,Other,0.4081,7020.72
C10281,1,2024-11-24,Moving,0.7183,10210.67
C10282,0,,No churn,0.3545,12535.43
C10283,1,2024-09-03,Price,0.4954,4991.0
C10284,0,,No churn,0.5281,31605.3
C10285,0,,No churn,0.3157,13843.02
C10286,0,,No churn,0.3524,4690.42
C10287,0,,No churn,0.213,6808.35
C10288,0,,No churn,0.3603,25010.37
C10289,1,2024-11-22,Price,0.8652,40025.69
C10290,1,2024-10-25,Network quality,0.2035,10970.08
C10291,0,,No churn,0.1125,12625.29
C10292,0,,No churn,0.325,8639.37
C10293,0,,No churn,0.3684,12524.11
C10294,0,,No churn,0.5428,23077.44
C10295,0,,No churn,0.5459,5980.92
C10296,1,2024-07-08,Network quality,0.1605,7368.21
C10297,1,2024-09-20,Network quality,0.1521,16508.23
C10298,1,2024-11-06,Other,0.8489,21036.75
C10299,0,,No churn,0.2996,13862.17
C10300,0,,No churn,0.1667,8500.24
C10301,0,,No churn,0.1567,5508.68
C10302,1,2024-11-15,Price,0.4869,32961.86
C10303,0,,No churn,0.0506,2442.15
C10304,1,2024-08-02,Poor service,0.67,19952.35
C10305,0,,No churn,0.1789,18090.63
C10306,1,2024-10-27,Price,0.8993,32795.07
C10307,0,,No churn,0.4004,14188.58
C10308,0,,No churn,0.3484,8130.73
C10309,0,,No churn,0.3405,7592.47
C10310,0,,No churn,0.2283,13348.42
C10311,1,2024-12-25,Moving,0.9468,12775.68
C10312,1,2024-09-06,Poor service,0.5495,32898.18
C10313,0,,No churn,0.1069,7598.24
C10314,1,2024-12-20,Competitor offer,0.6038,17971.89
C10315,1,2024-08-19,Price,0.8754,25520.27
C10316,0,,No churn,0.5633,8342.09
C10317,0,,No churn,0.4384,18856.35
C10318,1,2024-10-03,Price,0.3614,3178.29
C10319,0,,No churn,0.3522,23590.15
C10320,0,,No churn,0.5813,33295.1
C10321,0,,No churn,0.1683,18108.65
C10322,1,2024-09-24,Price,0.1729,13683.5
C10323,0,,No churn,0.4605,9971.16
C10324,1,2024-07-06,Other,0.6377,19352.07
C10325,0,,No churn,0.2584,20619.94
C10326,0,,No churn,0.3323,3867.71
C10327,1,2024-08-08,Moving,0.912,25095.54
C10328,0,,No churn,0.7614,26904.52
C10329,1,2024-10-27,Poor service,0.6799,14841.01
C10330,0,,No churn,0.214,14391.67
C10331,1,2024-09-28,Price,0.4376,21860.38
C10332,1,2024-12-14,Price,0.4632,21238.28
C10333,1,2024-09-18,Competitor offer,0.5227,40677.64
C10334,1,2024-12-14,Network quality,0.7874,14973.37
C10335,0,,No churn,0.6024,20729.25
C10336,0,,No churn,0.1157,10322.21
C10337,0,,No churn,0.5922,29001.15
C10338,0,,No churn,0.1786,11150.07
C10339,0,,No churn,0.1382,8919.38
C10340,0,,No churn,0.176,23777.52
C10341,0,,No churn,0.3738,5348.76
C10342,0,,No churn,0.1177,15761.31
C10343,0,,No churn,0.1699,5460.06
C10344,0,,No churn,0.2949,11795.66
C10345,1,2024-12-14,Competitor offer,0.373,26253.96
C10346,0,,No churn,0.2707,5266.61
C10347,1,2024-12-12,Moving,0.84,10304.62
C10348,0,,No churn,0.6513,33362.17
C10349,0,,No churn,0.3159,17172.21
C10350,0,,No churn,0.3825,9133.46
C10351,1,2024-08-22,Price,0.8775,54665.08
C10352,1,2024-09-18,Competitor offer,0.242,18705.64
C10353,0,,No churn,0.2814,8893.26
C10354,1,2024-08-20,Competitor offer,0.4066,32844.21
C10355,0,,No churn,0.4861,6468.96
C10356,1,2024-12-06,Price,0.607,11952.96
C10357,0,,No churn,0.2397,4458.31
C10358,0,,No churn,0.3003,4038.23
C10359,0,,No churn,0.3549,3508.36
C10360,0,,No churn,0.3545,12517.03
C10361,0,,No churn,0.8553,26369.62
C10362,0,,No churn,0.2024,16331.14
C10363,0,,No churn,0.3711,15028.98
C10364,0,,No churn,0.41,24508.92
C10365,0,,No churn,0.1794,9400.64
C10366,0,,No churn,0.5868,10400.05
C10367,1,2024-12-25,Competitor offer,0.7058,33195.22
C10368,1,2024-11-06,Moving,0.7336,36294.42
C10369,0,,No churn,0.2466,5735.81
C10370,0,,No churn,0.1879,11828.87
C10371,0,,No churn,0.0898,7007.64
C10372,0,,No churn,0.1822,19428.62
C10373,0,,No churn,0.6615,6528.88
C10374,0,,No churn,0.108,5106.43
C10375,0,,No churn,0.5826,15679.99
C10376,1,2024-10-14,Competitor offer,0.3937,12024.61
C10377,0,,No churn,0.3177,4428.34
C10378,0,,No churn,0.1886,8524.27
C10379,0,,No churn,0.1532,11893.12
C10380,0,,No churn,0.2094,4953.67
C10381,0,,No churn,0.1074,6790.73
C10382,1,2024-11-15,Price,0.874,34914.92
C10383,0,,No churn,0.4491,12199.42
C10384,1,2024-12-19,Network quality,0.4031,7045.14
C10385,0,,No churn,0.3378,33291.07
C10386,0,,No churn,0.2313,8138.31
C10387,0,,No churn,0.0745,8610.22
C10388,0,,No churn,0.3055,12136.13
C10389,0,,No churn,0.4009,6857.29
C10390,0,,No churn,0.5244,18209.82
C10391,0,,No churn,0.2372,2765.59
C10392,1,2024-12-27,Price,0.4109,6486.67
C10393,0,,No churn,0.2868,5981.96
C10394,1,2024-08-10,Price,0.7262,47732.28
C10395,0,,No churn,0.2925,11546.12
C10396,0,,No churn,0.7664,53030.72
C10397,0,,No churn,0.2017,13112.86
C10398,0,,No churn,0.2427,7937.53
C10399,1,2024-08-22,Competitor offer,0.7335,5868.89
C10400,0,,No churn,0.4768,6467.4
C10401,0,,No churn,0.0638,5477.24
C10402,0,,No churn,0.2649,4363.96
C10403,1,2024-07-19,Price,0.4305,8844.53
C10404,0,,No churn,0.2944,11928.31
C10405,0,,No churn,0.7692,33485.54
C10406,0,,No churn,0.6107,7705.6
C10407,1,2024-10-03,Price,0.8765,21033.54
C10408,1,2024-12-23,Competitor offer,0.7123,17482.13
C10409,1,2024-08-09,Competitor offer,0.2387,17351.46
C10410,0,,No churn,0.3647,29045.38
C10411,0,,No churn,0.0956,8697.27
C10412,0,,No churn,0.0608,10803.27
C10413,0,,No churn,0.1034,14104.13
C10414,0,,No churn,0.1902,15083.16
C10415,0,,No churn,0.3756,12841.42
C10416,1,2024-07-12,Poor service,0.5185,10223.07
C10417,0,,No churn,0.4167,3395.33
C10418,1,2024-11-03,Competitor offer,0.6353,10550.92
C10419,1,2024-12-16,Network quality,0.2332,5076.09
C10420,0,,No churn,0.0843,3731.6
C10421,0,,No churn,0.6877,15429.23
C10422,0,,No churn,0.4841,11323.37
C10423,1,2024-08-08,Price,0.3614,3278.3
C10424,1,2024-07-04,Moving,0.4478,7063.57
C10425,0,,No churn,0.2943,7759.27
C10426,0,,No churn,0.2345,9997.78
C10427,1,2024-11-10,Network quality,0.395,33394.95
C10428,1,2024-07-15,Price,0.7768,22743.66
C10429,0,,No churn,0.3144,6106.78
C10430,1,2024-12-14,Poor service,0.7968,19935.33
C10431,0,,No churn,0.4885,26226.62
C10432,1,2024-10-09,Price,0.4454,19852.03
C10433,0,,No churn,0.1723,7246.29
C10434,0,,No churn,0.2047,11294.29
C10435,0,,No churn,0.4463,12622.86
C10436,0,,No churn,0.2043,6162.93
C10437,0,,No churn,0.2789,2786.55
C10438,0,,No churn,0.2501,5143.11
C10439,1,2024-09-10,Network quality,0.8731,6574.87
C10440,0,,No churn,0.4934,4935.05
C10441,0,,No churn,0.5369,16154.02
C10442,1,2024-09-15,Network quality,0.7126,36104.75
C10443,1,2024-11-11,Competitor offer,0.603,58962.0
C10444,1,2024-10-25,Network quality,0.9505,10930.81
C10445,1,2024-11-13,Competitor offer,0.3781,12076.28
C10446,0,,No churn,0.7645,7025.79
C10447,0,,No churn,0.3622,22150.82
C10448,0,,No churn,0.2501,6756.37
C10449,1,2024-08-25,Network quality,0.2836,10057.98
C10450,1,2024-08-02,Other,0.7562,14184.9
C10451,0,,No churn,0.3552,9743.75
C10452,1,2024-11-01,Poor service,0.3254,6947.4
C10453,1,2024-09-05,Price,0.7836,8182.62
C10454,1,2024-12-06,Other,0.8485,45600.82
C10455,1,2024-12-28,Network quality,0.4517,9160.58
C10456,0,,No churn,0.1814,11283.09
C10457,1,2024-07-26,Network quality,0.3333,14413.66
C10458,0,,No churn,0.2548,23865.32
C10459,1,2024-12-19,Network quality,0.849,39210.76
C10460,0,,No churn,0.2712,4026.09
C10461,0,,No churn,0.8359,13169.58
C10462,1,2024-11-09,Other,0.281,8316.14
C10463,0,,No churn,0.4852,5004.78
C10464,0,,No churn,0.4443,9965.03
C10465,1,2024-10-24,Poor service,0.9039,26986.73
C10466,0,,No churn,0.1329,7424.8
C10467,1,2024-12-26,Competitor offer,0.6774,16053.18
C10468,0,,No churn,0.1305,15111.64
C10469,1,2024-12-02,Poor service,0.692,10265.09
C10470,1,2024-11-21,Network quality,0.2139,8709.8
C10471,1,2024-08-05,Price,0.435,19460.8
C10472,1,2024-10-23,Poor service,0.9215,34504.45
C10473,1,2024-07-27,Network quality,0.7061,12569.05
C10474,1,2024-09-28,Poor service,0.3191,12469.67
C10475,1,2024-09-27,Network quality,0.2433,12196.91
C10476,1,2024-11-08,Network quality,0.5231,26025.95
C10477,1,2024-08-04,Price,0.2924,9396.67
C10478,0,,No churn,0.2182,2872.72
C10479,1,2024-12-17,Poor service,0.5851,9311.51
C10480,1,2024-10-23,Competitor offer,0.6094,13124.48
C10481,0,,No churn,0.1965,15522.08
C10482,0,,No churn,0.2659,16174.76
C10483,0,,No churn,0.2887,11776.86
C10484,0,,No churn,0.14,11507.08
C10485,0,,No churn,0.2024,9166.96
C10486,0,,No churn,0.3432,13234.21
C10487,0,,No churn,0.0937,7215.97
C10488,0,,No churn,0.2831,15966.42
C10489,1,2024-12-11,Poor service,0.4966,6373.48
C10490,0,,No churn,0.1071,13302.62
C10491,0,,No churn,0.1059,12639.35
C10492,0,,No churn,0.575,2882.11
C10493,1,2024-07-14,Price,0.2746,7129.59
C10494,1,2024-07-02,Price,0.7817,27868.33
C10495,0,,No churn,0.2065,6984.18
C10496,1,2024-10-21,Competitor offer,0.1782,9954.67
C10497,0,,No churn,0.2955,9229.74
C10498,0,,No churn,0.1547,7708.42
C10499,0,,No churn,0.5094,16777.22
C10500,1,2024-07-21,Network quality,0.7518,52295.41
C10501,0,,No churn,0.1553,11688.0
C10502,0,,No churn,0.4488,22033.51
C10503,1,2024-10-11,Competitor offer,0.3787,13956.41
C10504,1,2024-12-02,Competitor offer,0.8803,12937.1
C10505,0,,No churn,0.1419,6504.45
C10506,1,2024-12-05,Network quality,0.6986,17642.57
C10507,0,,No churn,0.4612,10895.15
C10508,0,,No churn,0.3174,8354.32
C10509,1,2024-09-07,Competitor offer,0.8062,38205.64
C10510,1,2024-11-14,Price,0.345,9965.19
C10511,0,,No churn,0.1975,3167.15
C10512,0,,No churn,0.2472,11253.82
C10513,0,,No churn,0.2607,5098.01
C10514,1,2024-10-08,Network quality,0.5781,3918.23
C10515,0,,No churn,0.3549,5517.5
C10516,1,2024-11-28,Competitor offer,0.5336,5255.84
C10517,0,,No churn,0.3646,28000.42
C10518,0,,No churn,0.261,7950.88
C10519,0,,No churn,0.093,10265.47
C10520,0,,No churn,0.1653,7080.73
C10521,0,,No churn,0.4424,8796.68
C10522,0,,No churn,0.1142,8723.71
C10523,1,2024-11-12,Network quality,0.6341,26391.03
C10524,1,2024-09-20,Moving,0.6368,9213.79
C10525,0,,No churn,0.5316,6147.9
C10526,0,,No churn,0.2531,19675.81
C10527,1,2024-09-23,Network quality,0.9261,39245.41
C10528,1,2024-09-10,Poor service,0.3615,12630.66
C10529,0,,No churn,0.3248,11678.28
C10530,1,2024-12-19,Price,0.8418,16250.19
C10531,0,,No churn,0.4075,11755.84
C10532,0,,No churn,0.067,6101.44
C10533,0,,No churn,0.4756,18099.91
C10534,0,,No churn,0.1927,17798.84
C10535,0,,No churn,0.25,4604.41
C10536,0,,No churn,0.2921,13207.7
C10537,1,2024-10-10,Network quality,0.3195,4939.39
C10538,0,,No churn,0.1883,6347.71
C10539,1,2024-07-15,Poor service,0.6476,18078.73
C10540,0,,No churn,0.141,9530.89
C10541,0,,No churn,0.8428,19699.44
C10542,0,,No churn,0.1504,15693.6
C10543,0,,No churn,0.4644,19871.93
C10544,0,,No churn,0.7094,15619.85
C10545,0,,No churn,0.1244,10031.0
C10546,1,2024-12-05,Network quality,0.4815,3857.69
C10547,1,2024-12-20,Network quality,0.5334,31320.38
C10548,1,2024-11-09,Competitor offer,0.4657,7754.11
C10549,0,,No churn,0.2406,17177.66
C10550,0,,No churn,0.262,12280.62
C10551,1,2024-09-25,Poor service,0.427,8602.98
C10552,0,,No churn,0.4036,5448.88
C10553,1,2024-08-04,Price,0.8109,61720.94
C10554,1,2024-08-09,Price,0.6416,25340.47
C10555,0,,No churn,0.1883,10493.0
C10556,0,,No churn,0.2196,2552.87
C10557,0,,No churn,0.4442,11287.15
C10558,0,,No churn,0.1797,5982.35
C10559,1,2024-07-20,Competitor offer,0.404,8658.55
C10560,0,,No churn,0.1036,4013.43
C10561,1,2024-10-08,Competitor offer,0.1942,5215.5
C10562,0,,No churn,0.2805,18688.38
C10563,0,,No churn,0.5739,15236.82
C10564,0,,No churn,0.2452,13159.09
C10565,1,2024-07-18,Poor service,0.368,24152.26
C10566,0,,No churn,0.3399,10202.42
C10567,0,,No churn,0.2596,2953.16
C10568,1,2024-12-10,Network quality,0.5371,4667.02
C10569,1,2024-10-03,Price,0.9278,11512.33
C10570,0,,No churn,0.1145,8418.36
C10571,0,,No churn,0.8831,20553.75
C10572,0,,No churn,0.0653,10061.52
C10573,0,,No churn,0.2567,4160.27
C10574,0,,No churn,0.3043,15332.49
C10575,0,,No churn,0.1916,10222.41
C10576,1,2024-12-21,Competitor offer,0.7169,44938.9
C10577,1,2024-09-10,Price,0.9538,29987.04
C10578,1,2024-09-20,Poor service,0.7636,31071.88
C10579,1,2024-09-28,Poor service,0.1319,16261.13
C10580,0,,No churn,0.9491,17812.77
C10581,0,,No churn,0.1095,2300.46
C10582,0,,No churn,0.4469,13494.89
C10583,0,,No churn,0.0975,13884.05
C10584,1,2024-10-01,Moving,0.2285,5465.73
C10585,0,,No churn,0.2464,5607.53
C10586,1,2024-11-15,Price,0.871,17982.04
C10587,0,,No churn,0.3224,11426.42
C10588,1,2024-12-11,Network quality,0.4655,19624.15
C10589,0,,No churn,0.3795,9580.02
