sub_id,customer_id,plan_name,internet_service,phone_service,multiple_lines,online_security,tech_support,streaming_tv,device_protection,monthly_charge_egp,total_charge_egp,tenure_months
S10097,C10097,Business,5G,Yes,Yes,No,No,Yes,Yes,862.76,34636.3,40
S10098,C10098,Plus,Fiber,Yes,No,No,No,Yes,Yes,342.6,12945.34,38
S10099,C10099,Plus,No Internet,Yes,No,No,Yes,No,No,335.77,12094.09,36
S10100,C10100,Ultra,5G,Yes,No,Yes,Yes,Yes,No,647.41,37572.08,58
S10101,C10101,Ultra,DSL,Yes,No,No,Yes,Yes,Yes,532.18,26677.63,50
S10102,C10102,Business,Fiber,Yes,Yes,No,No,Yes,No,803.57,44282.92,55
S10103,C10103,Ultra,5G,Yes,No,No,No,Yes,No,588.71,33495.75,57
S10104,C10104,Plus,Fiber,Yes,Yes,Yes,Yes,No,No,373.19,5696.55,15
S10105,C10105,Basic,Fiber,Yes,Yes,Yes,Yes,No,Yes,264.71,8947.6,34
S10106,C10106,Basic,Fiber,Yes,Yes,Yes,No,Yes,Yes,222.25,2871.61,13
S10107,C10107,Ultra,DSL,Yes,No,No,No,Yes,Yes,533.51,21358.26,40
S10108,C10108,Business,5G,No,No phone,Yes,No,No,No,887.1,36387.92,41
S10109,C10109,Business,Fiber,Yes,Yes,No,No,No,No,809.77,32349.38,40
S10110,C10110,Business,Fiber,Yes,No,No,No,No,Yes,821.89,21229.39,26
S10111,C10111,Ultra,Fiber,No,No phone,No,Yes,Yes,Yes,573.63,24112.95,42
S10112,C10112,Basic,DSL,Yes,No,No,No,Yes,Yes,180.71,5742.88,32
S10113,C10113,Basic,Fiber,Yes,No,No,No,No,Yes,219.96,10970.23,50
S10114,C10114,Basic,DSL,Yes,No,Yes,No,No,Yes,153.65,5872.93,38
S10115,C10115,Ultra,Fiber,Yes,No,Yes,Yes,Yes,No,585.97,17552.74,30
S10116,C10116,Plus,DSL,Yes,No,No,No,No,Yes,333.13,5487.11,17
S10117,C10117,Basic,Fiber,Yes,Yes,Yes,Yes,No,Yes,240.85,8719.7,36
S10118,C10118,Plus,Fiber,Yes,No,Yes,Yes,Yes,Yes,384.19,16997.34,44
S10119,C10119,Ultra,Fiber,Yes,No,No,Yes,No,Yes,622.37,10449.73,17
S10120,C10120,Ultra,Fiber,No,No phone,No,Yes,No,Yes,534.82,27788.65,52
S10121,C10121,Business,DSL,Yes,No,No,No,Yes,No,772.85,22417.6,29
S10122,C10122,Ultra,Fiber,No,No phone,Yes,No,Yes,No,595.24,11785.0,20
S10123,C10123,Plus,DSL,No,No phone,No,No,No,No,332.41,19905.49,60
S10124,C10124,Business,Fiber,Yes,No,Yes,Yes,No,No,798.94,47846.35,60
S10125,C10125,Basic,DSL,Yes,Yes,Yes,No,Yes,Yes,178.3,5383.53,30
S10126,C10126,Basic,Fiber,Yes,No,No,Yes,Yes,No,304.3,17469.45,58
S10127,C10127,Business,Fiber,Yes,No,No,No,No,Yes,796.07,22243.05,28
S10128,C10128,Plus,Fiber,Yes,Yes,No,Yes,No,Yes,377.28,18621.48,49
S10129,C10129,Basic,Fiber,Yes,No,No,Yes,Yes,Yes,240.58,6603.74,27
S10130,C10130,Ultra,No Internet,Yes,Yes,Yes,Yes,No,Yes,486.73,16374.58,34
S10131,C10131,Business,DSL,Yes,No,Yes,Yes,No,Yes,754.04,36202.15,48
S10132,C10132,Ultra,Fiber,Yes,No,Yes,No,Yes,No,564.72,12488.09,22
S10133,C10133,Basic,Fiber,Yes,Yes,Yes,No,No,Yes,258.33,14315.06,56
S10134,C10134,Basic,5G,Yes,No,Yes,No,No,Yes,240.31,8619.37,36
S10135,C10135,Ultra,DSL,Yes,No,Yes,Yes,No,Yes,522.28,8288.36,16
S10136,C10136,Basic,Fiber,Yes,No,Yes,No,Yes,Yes,201.71,4327.93,21
S10137,C10137,Plus,DSL,Yes,Yes,No,Yes,No,Yes,367.96,11364.64,31
S10138,C10138,Plus,Fiber,Yes,No,Yes,No,No,No,380.9,6545.39,17
S10139,C10139,Basic,DSL,No,No phone,Yes,Yes,No,No,196.11,8598.24,44
S10140,C10140,Ultra,DSL,Yes,Yes,No,No,Yes,Yes,525.74,21986.75,42
S10141,C10141,Ultra,5G,No,No phone,Yes,Yes,Yes,No,600.24,22883.2,38
S10142,C10142,Plus,Fiber,Yes,No,No,Yes,Yes,No,375.56,8314.79,22
S10143,C10143,Basic,Fiber,Yes,No,Yes,Yes,No,No,259.5,5647.3,22
S10144,C10144,Business,Fiber,Yes,Yes,Yes,No,Yes,No,812.85,12143.37,15
S10145,C10145,Basic,5G,Yes,Yes,Yes,No,No,No,281.37,15249.01,54
S10146,C10146,Ultra,DSL,Yes,Yes,Yes,No,Yes,No,538.57,13020.4,24
S10147,C10147,Plus,DSL,Yes,Yes,No,No,No,No,318.5,15239.84,48
S10148,C10148,Basic,Fiber,Yes,No,No,No,No,No,218.73,4550.05,21
S10149,C10149,Plus,5G,Yes,Yes,No,No,No,No,424.45,7532.12,18
S10150,C10150,Ultra,5G,Yes,Yes,Yes,Yes,No,Yes,618.0,22753.44,37
S10151,C10151,Basic,DSL,Yes,Yes,Yes,Yes,Yes,No,182.77,3791.77,20
S10152,C10152,Ultra,Fiber,Yes,Yes,No,Yes,No,Yes,624.4,32580.76,52
S10153,C10153,Ultra,5G,Yes,No,Yes,Yes,Yes,No,603.06,20421.14,34
S10154,C10154,Basic,5G,Yes,No,Yes,No,Yes,Yes,289.09,4100.03,14
S10155,C10155,Plus,No Internet,Yes,Yes,No,Yes,Yes,No,301.3,11894.61,40
S10156,C10156,Basic,DSL,Yes,Yes,Yes,Yes,Yes,Yes,187.34,2642.71,14
S10157,C10157,Basic,Fiber,Yes,Yes,No,Yes,No,Yes,263.12,10119.8,38
S10158,C10158,Plus,5G,Yes,Yes,No,Yes,Yes,No,420.67,23096.83,55
S10159,C10159,Business,DSL,No,No phone,No,Yes,No,No,810.92,27556.62,34
S10160,C10160,Plus,Fiber,Yes,Yes,No,No,No,Yes,367.94,16277.28,44
S10161,C10161,Plus,5G,Yes,Yes,Yes,No,Yes,Yes,441.27,21628.85,49
S10162,C10162,Plus,5G,Yes,Yes,Yes,No,Yes,Yes,350.39,16177.55,46
S10163,C10163,Ultra,Fiber,Yes,Yes,No,Yes,No,Yes,590.71,14710.83,25
S10164,C10164,Plus,Fiber,Yes,No,No,No,Yes,Yes,369.72,19676.89,53
S10165,C10165,Ultra,DSL,Yes,Yes,No,No,Yes,Yes,592.07,20164.85,34
S10166,C10166,Basic,No Internet,No,No phone,Yes,Yes,Yes,Yes,196.79,9393.79,48
S10167,C10167,Plus,No Internet,Yes,Yes,Yes,No,Yes,No,379.99,20955.7,55
S10168,C10168,Basic,Fiber,Yes,No,Yes,Yes,No,No,264.14,13624.72,52
S10169,C10169,Basic,Fiber,No,No phone,Yes,Yes,No,No,281.04,6379.82,23
S10170,C10170,Plus,Fiber,Yes,Yes,Yes,No,Yes,No,394.32,6692.1,17
S10171,C10171,Plus,DSL,No,No phone,Yes,Yes,No,No,358.21,10080.89,28
S10172,C10172,Basic,No Internet,No,No phone,Yes,Yes,No,No,209.89,3236.72,16
S10173,C10173,Ultra,DSL,Yes,Yes,No,Yes,Yes,No,535.66,26148.18,49
S10174,C10174,Plus,Fiber,Yes,Yes,Yes,No,No,Yes,381.35,9862.18,26
S10175,C10175,Basic,5G,Yes,Yes,Yes,No,Yes,No,274.64,7896.05,29
S10176,C10176,Business,DSL,Yes,No,No,No,No,No,777.97,38899.54,50
S10177,C10177,Plus,Fiber,Yes,Yes,No,Yes,No,No,397.25,5267.61,13
S10178,C10178,Ultra,DSL,Yes,No,Yes,Yes,No,Yes,572.89,22359.55,39
S10179,C10179,Ultra,Fiber,Yes,No,No,Yes,Yes,Yes,662.52,8528.31,13
S10180,C10180,Business,5G,Yes,No,Yes,No,Yes,Yes,809.19,11404.86,14
S10181,C10181,Plus,Fiber,Yes,Yes,No,Yes,No,No,441.75,23952.42,54
S10182,C10182,Basic,DSL,Yes,No,Yes,No,No,Yes,190.87,6355.89,34
S10183,C10183,Business,DSL,Yes,No,Yes,Yes,No,Yes,781.72,42955.24,55
S10184,C10184,Basic,DSL,No,No phone,Yes,No,Yes,No,175.68,3546.13,20
S10185,C10185,Basic,5G,Yes,Yes,Yes,Yes,No,No,285.97,8288.04,29
S10186,C10186,Plus,Fiber,Yes,No,Yes,Yes,Yes,Yes,381.89,18032.74,47
S10187,C10187,Business,DSL,Yes,No,No,No,No,No,769.38,33769.08,44
S10188,C10188,Plus,DSL,Yes,No,No,No,Yes,No,324.39,17576.82,54
S10189,C10189,Plus,5G,Yes,Yes,No,Yes,Yes,Yes,427.25,16322.52,38
S10190,C10190,Ultra,DSL,Yes,No,Yes,No,No,No,546.83,16871.87,31
S10191,C10191,Business,DSL,Yes,No,No,Yes,Yes,No,756.67,33265.95,44
S10192,C10192,Basic,DSL,Yes,Yes,No,Yes,Yes,Yes,175.5,2826.91,17
S10193,C10193,Ultra,5G,Yes,Yes,Yes,No,Yes,Yes,614.83,34322.63,56
S10194,C10194,Ultra,Fiber,Yes,No,Yes,Yes,Yes,Yes,647.51,11089.51,17
S10195,C10195,Plus,Fiber,Yes,Yes,Yes,Yes,No,No,409.78,13206.36,32
S10196,C10196,Ultra,DSL,Yes,No,No,Yes,No,No,503.89,18424.8,37
S10197,C10197,Basic,Fiber,No,No phone,No,Yes,No,Yes,298.51,13388.7,45
S10198,C10198,Basic,DSL,No,No phone,No,No,Yes,No,181.15,5646.26,31
S10199,C10199,Basic,5G,No,No phone,No,Yes,Yes,Yes,246.43,6686.37,27
S10200,C10200,Plus,DSL,Yes,Yes,No,Yes,Yes,Yes,342.83,6893.32,20
S10201,C10201,Business,Fiber,Yes,No,Yes,No,Yes,No,807.41,40353.39,50
S10202,C10202,Plus,DSL,Yes,Yes,No,No,Yes,No,350.47,8428.93,24
S10203,C10203,Business,5G,Yes,No,No,Yes,Yes,Yes,830.54,27479.71,33
S10204,C10204,Plus,Fiber,Yes,Yes,Yes,No,Yes,No,416.49,23881.25,57
S10205,C10205,Ultra,Fiber,No,No phone,No,Yes,No,Yes,602.33,12005.72,20
S10206,C10206,Plus,Fiber,Yes,No,Yes,No,Yes,Yes,395.79,7098.14,18
S10207,C10207,Plus,DSL,Yes,Yes,Yes,Yes,No,Yes,336.15,9386.57,28
S10208,C10208,Basic,Fiber,Yes,Yes,Yes,No,Yes,Yes,216.5,3285.63,15
S10209,C10209,Ultra,5G,Yes,No,No,Yes,No,No,627.56,37679.82,60
S10210,C10210,Plus,5G,Yes,Yes,No,No,Yes,Yes,389.73,22243.96,57
S10211,C10211,Plus,DSL,Yes,Yes,No,No,No,No,361.62,8329.37,23
S10212,C10212,Plus,5G,Yes,Yes,Yes,Yes,No,Yes,410.44,9086.24,22
S10213,C10213,Ultra,DSL,Yes,No,No,No,Yes,No,514.8,15416.82,30
S10214,C10214,Plus,Fiber,Yes,Yes,Yes,No,Yes,Yes,399.66,14742.66,37
S10215,C10215,Plus,DSL,Yes,Yes,Yes,Yes,No,No,353.98,13512.08,38
S10216,C10216,Plus,DSL,Yes,Yes,No,No,Yes,No,304.81,16585.19,54
S10217,C10217,Plus,DSL,Yes,Yes,No,Yes,Yes,No,343.47,5481.43,16
S10218,C10218,Plus,5G,Yes,No,No,Yes,Yes,Yes,426.73,6917.94,16
S10219,C10219,Plus,DSL,Yes,Yes,Yes,No,No,No,299.86,16872.98,56
S10220,C10220,Basic,Fiber,Yes,No,Yes,Yes,Yes,No,274.46,12845.9,47
S10221,C10221,Basic,Fiber,Yes,No,No,Yes,No,No,236.94,9478.19,40
S10222,C10222,Basic,Fiber,Yes,No,Yes,Yes,Yes,Yes,227.81,10364.36,46
S10223,C10223,Plus,Fiber,Yes,Yes,No,No,No,No,397.91,7421.87,19
S10224,C10224,Basic,DSL,Yes,No,Yes,Yes,No,Yes,262.44,13650.56,52
S10225,C10225,Plus,Fiber,Yes,Yes,Yes,No,No,Yes,450.61,17017.66,38
S10226,C10226,Plus,5G,Yes,No,Yes,No,No,No,434.49,17052.72,39
S10227,C10227,Plus,DSL,Yes,Yes,No,No,No,Yes,327.53,6146.98,19
S10228,C10228,Business,5G,Yes,No,No,Yes,Yes,No,814.83,11411.45,14
S10229,C10229,Basic,Fiber,Yes,Yes,Yes,No,No,No,222.65,4776.06,21
S10230,C10230,Plus,Fiber,Yes,Yes,No,Yes,Yes,No,368.3,4774.44,13
S10231,C10231,Basic,DSL,Yes,Yes,No,No,No,No,156.34,3466.01,22
S10232,C10232,Plus,Fiber,Yes,No,Yes,No,Yes,No,422.78,18221.46,43
S10233,C10233,Basic,Fiber,No,No phone,No,No,Yes,Yes,241.37,13749.69,57
S10234,C10234,Plus,Fiber,Yes,No,Yes,Yes,Yes,No,399.36,13960.23,35
S10235,C10235,Plus,5G,Yes,Yes,Yes,Yes,Yes,Yes,394.9,20112.44,51
S10236,C10236,Basic,DSL,Yes,Yes,Yes,No,No,No,204.34,6358.44,31
S10237,C10237,Ultra,Fiber,Yes,Yes,No,No,Yes,Yes,647.47,9071.54,14
S10238,C10238,Plus,Fiber,Yes,Yes,No,Yes,No,No,421.42,23631.36,56
S10239,C10239,Ultra,Fiber,Yes,Yes,Yes,No,No,Yes,569.36,26226.6,46
S10240,C10240,Plus,DSL,Yes,Yes,Yes,No,Yes,Yes,333.9,6191.7,19
S10241,C10241,Plus,Fiber,Yes,No,No,Yes,Yes,No,423.05,8822.68,21
S10242,C10242,Plus,Fiber,Yes,No,Yes,Yes,No,No,388.8,4957.22,13
S10243,C10243,Plus,5G,No,No phone,Yes,Yes,Yes,No,424.24,10192.63,24
S10244,C10244,Plus,Fiber,Yes,No,No,No,Yes,Yes,376.38,8283.8,22
S10245,C10245,Ultra,5G,Yes,No,Yes,Yes,No,No,605.24,15085.07,25
S10246,C10246,Plus,5G,Yes,No,No,No,Yes,Yes,424.48,19214.56,45
S10247,C10247,Plus,DSL,Yes,Yes,Yes,Yes,No,Yes,322.47,8411.29,26
S10248,C10248,Plus,Fiber,Yes,Yes,Yes,No,No,Yes,380.51,10156.52,27
S10249,C10249,Basic,5G,No,No phone,Yes,Yes,No,No,299.17,12833.6,43
S10250,C10250,Plus,DSL,Yes,No,Yes,Yes,Yes,No,339.55,16899.39,50
S10251,C10251,Business,Fiber,Yes,No,Yes,No,Yes,No,779.17,21148.87,27
S10252,C10252,Ultra,Fiber,Yes,Yes,No,No,Yes,No,575.11,11993.93,21
S10253,C10253,Ultra,Fiber,Yes,Yes,No,Yes,Yes,No,591.71,10609.29,18
S10254,C10254,Plus,No Internet,Yes,Yes,Yes,No,No,No,340.74,9582.05,28
S10255,C10255,Business,DSL,Yes,No,Yes,Yes,Yes,Yes,714.88,17165.7,24
S10256,C10256,Plus,No Internet,Yes,Yes,No,Yes,Yes,No,335.66,15433.97,46
S10257,C10257,Ultra,Fiber,Yes,Yes,Yes,No,Yes,Yes,559.42,12458.31,22
S10258,C10258,Business,DSL,No,No phone,No,Yes,Yes,Yes,787.44,17256.79,22
S10259,C10259,Plus,Fiber,Yes,No,Yes,Yes,Yes,No,347.43,18797.39,54
S10260,C10260,Plus,DSL,Yes,No,Yes,No,Yes,No,320.73,12885.04,40
S10261,C10261,Ultra,Fiber,Yes,Yes,Yes,Yes,No,Yes,562.89,17486.18,31
S10262,C10262,Ultra,5G,Yes,No,No,No,No,No,626.55,35760.64,57
S10263,C10263,Basic,5G,Yes,No,No,No,Yes,Yes,318.56,5594.3,18
S10264,C10264,Plus,Fiber,Yes,No,Yes,No,Yes,No,359.36,15611.31,44
S10265,C10265,Plus,DSL,Yes,Yes,No,Yes,Yes,No,343.49,18869.16,55
S10266,C10266,Plus,5G,Yes,Yes,No,Yes,No,No,487.46,28739.49,59
S10267,C10267,Plus,DSL,Yes,No,No,No,No,Yes,303.77,7010.33,23
S10268,C10268,Basic,Fiber,Yes,No,Yes,Yes,No,No,249.74,14630.43,58
S10269,C10269,Ultra,Fiber,Yes,Yes,Yes,Yes,No,No,603.42,25762.72,43
S10270,C10270,Ultra,5G,Yes,No,No,Yes,No,Yes,697.58,24396.85,35
S10271,C10271,Plus,No Internet,Yes,No,No,No,No,Yes,376.05,13179.27,35
S10272,C10272,Basic,Fiber,No,No phone,Yes,No,No,Yes,179.12,6682.17,37
S10273,C10273,Business,Fiber,Yes,Yes,Yes,Yes,No,No,814.4,9672.81,12
S10274,C10274,Ultra,Fiber,Yes,No,Yes,Yes,No,No,580.84,30225.17,52
S10275,C10275,Plus,DSL,Yes,No,No,No,Yes,Yes,369.92,16228.73,44
S10276,C10276,Ultra,Fiber,No,No phone,Yes,No,No,No,577.27,23093.55,40
S10277,C10277,Plus,Fiber,Yes,Yes,Yes,Yes,No,No,414.05,13644.73,33
S10278,C10278,Basic,DSL,Yes,No,No,Yes,Yes,Yes,152.42,3571.3,23
S10279,C10279,Business,5G,Yes,Yes,No,Yes,No,Yes,829.5,13119.63,16
S10280,C10280,Plus,Fiber,Yes,No,Yes,No,Yes,No,349.31,9384.07,27
S10281,C10281,Ultra,Fiber,Yes,Yes,Yes,No,Yes,No,550.09,10882.32,20
S10282,C10282,Basic,5G,Yes,No,Yes,Yes,No,Yes,308.02,14433.33,47
S10283,C10283,Basic,Fiber,Yes,Yes,No,No,Yes,No,235.14,3923.66,17
S10284,C10284,Business,DSL,Yes,No,No,Yes,Yes,No,756.08,36254.22,48
S10285,C10285,Plus,Fiber,Yes,Yes,No,No,Yes,No,355.54,11622.29,33
S10286,C10286,Basic,5G,Yes,No,Yes,Yes,No,Yes,234.41,3943.52,17
S10287,C10287,Basic,DSL,Yes,Yes,Yes,Yes,No,No,184.21,6915.24,37
S10288,C10288,Plus,5G,Yes,Yes,No,No,No,No,421.63,22624.51,54
S10289,C10289,Business,Fiber,No,No phone,Yes,Yes,Yes,No,815.0,34992.43,43
S10290,C10290,Plus,No Internet,Yes,Yes,No,No,No,No,323.66,14857.44,46
S10291,C10291,Plus,No Internet,Yes,No,No,Yes,No,No,325.21,12061.6,37
S10292,C10292,Plus,DSL,Yes,No,Yes,Yes,No,Yes,351.78,8364.32,24
S10293,C10293,Plus,DSL,No,No phone,Yes,No,Yes,Yes,349.52,12866.85,37
S10294,C10294,Ultra,DSL,Yes,Yes,No,No,Yes,Yes,479.91,25066.72,52
S10295,C10295,Plus,Fiber,No,No phone,Yes,Yes,Yes,No,342.49,5704.03,17
S10296,C10296,Basic,DSL,Yes,Yes,No,Yes,No,No,161.57,8658.05,54
S10297,C10297,Plus,Fiber,Yes,Yes,Yes,Yes,Yes,No,371.23,15573.44,42
S10298,C10298,Business,Fiber,Yes,Yes,Yes,No,No,Yes,795.02,17368.82,22
S10299,C10299,Plus,No Internet,Yes,No,Yes,Yes,Yes,Yes,345.17,14371.45,42
