customer_id,month,calls_minutes,sms_count,data_gb,roaming_gb,app_usage_hours,downtime_hours,slow_days
C10006,2024-05,320,148,41.4,0.4,70.9,0.2,4
C10006,2024-06,273,209,62.4,0.1,40.7,0.5,4
C10006,2024-07,315,38,28.8,1.2,14.1,0.0,1
C10006,2024-08,304,93,43.1,0.6,49.1,1.2,1
C10006,2024-09,322,201,51.1,0.7,27.1,0.0,0
C10006,2024-10,285,23,57.4,0.8,41.0,2.3,1
C10006,2024-11,463,129,31.1,0.3,17.4,0.2,1
C10006,2024-12,490,46,78.2,0.2,77.1,0.8,0
C10007,2024-01,523,18,30.0,0.2,32.5,0.0,0
C10007,2024-02,548,102,44.2,1.6,48.6,0.9,1
C10007,2024-03,416,158,41.1,0.1,47.1,0.3,1
C10007,2024-04,364,152,34.7,0.0,45.0,1.3,1
C10007,2024-05,295,152,52.0,0.6,33.2,1.9,0
C10007,2024-06,332,282,36.1,0.2,56.9,0.2,1
C10007,2024-07,389,0,48.3,1.0,18.4,1.1,1
C10007,2024-08,290,150,17.9,0.3,41.4,0.6,0
C10007,2024-09,89,235,55.4,0.3,55.0,0.3,1
C10007,2024-10,320,66,54.1,1.0,76.3,0.0,0
C10007,2024-11,405,84,32.6,0.1,57.9,0.2,0
C10007,2024-12,366,2,37.0,0.2,52.3,0.1,0
C10008,2024-01,513,90,101.7,0.4,89.3,1.3,1
C10008,2024-02,480,128,56.4,0.3,33.1,0.1,0
C10008,2024-03,513,73,83.0,1.0,56.2,0.2,3
C10008,2024-04,346,205,42.5,1.5,72.0,0.7,4
C10008,2024-05,485,211,73.9,0.2,67.8,0.3,2
C10008,2024-06,365,288,80.2,0.2,71.6,1.3,2
C10008,2024-07,321,43,63.6,1.0,26.4,1.6,2
C10008,2024-08,385,119,68.2,0.8,76.9,0.1,6
C10008,2024-09,397,191,57.7,1.2,66.3,0.1,3
C10008,2024-10,392,132,47.3,0.4,76.4,4.1,1
C10008,2024-11,602,103,58.6,0.9,80.0,0.9,1
C10008,2024-12,316,149,60.1,0.1,51.9,0.7,4
C10009,2024-01,302,184,2.3,0.3,30.9,1.4,0
C10009,2024-02,155,171,46.7,0.3,58.2,0.7,1
C10009,2024-03,474,272,41.4,0.5,35.3,0.3,1
C10009,2024-04,262,115,26.9,0.7,52.1,2.5,0
C10009,2024-05,134,194,50.7,0.2,54.2,0.4,0
C10009,2024-06,398,110,12.5,0.7,30.0,0.1,0
C10009,2024-07,41,179,34.6,0.6,44.0,1.0,1
C10009,2024-08,436,160,47.6,1.9,43.4,0.1,0
C10009,2024-09,266,104,39.7,0.7,35.5,0.3,2
C10009,2024-10,163,56,39.9,1.1,0.0,0.3,0
C10009,2024-11,353,159,27.5,1.4,26.6,0.0,0
C10009,2024-12,173,124,33.9,1.1,23.3,1.1,1
C10010,2024-01,524,86,25.4,0.2,72.8,0.2,0
C10010,2024-02,419,221,65.0,0.2,85.7,0.2,1
C10010,2024-03,270,319,51.9,0.5,11.3,0.5,2
C10010,2024-04,635,221,47.6,6.3,65.6,0.0,0
C10010,2024-05,409,236,44.2,0.2,79.7,0.2,2
C10010,2024-06,480,134,52.7,0.4,45.9,0.1,0
C10010,2024-07,580,168,87.7,1.0,74.0,1.4,0
C10010,2024-08,582,70,37.1,0.1,73.7,1.8,0
C10010,2024-09,481,103,42.9,0.3,68.4,0.1,1
C10010,2024-10,307,84,45.4,5.6,56.3,0.2,0
C10010,2024-11,485,202,64.3,1.1,59.7,0.2,2
C10010,2024-12,377,161,60.8,0.3,38.1,1.9,0
C10011,2024-01,522,112,5.3,0.1,54.7,0.5,2
C10011,2024-02,341,123,35.9,1.0,56.6,0.3,1
C10011,2024-03,326,80,29.1,0.8,25.6,0.0,1
C10011,2024-04,224,168,49.3,2.8,69.5,1.5,0
C10011,2024-05,324,130,33.0,0.1,47.4,0.5,2
C10011,2024-06,268,131,60.8,1.2,42.4,0.4,0
C10011,2024-07,390,127,27.8,1.1,26.3,0.8,1
C10011,2024-08,0,232,35.8,1.3,48.6,0.3,0
C10011,2024-09,338,110,51.2,1.1,40.1,0.0,1
C10011,2024-10,526,58,36.2,1.3,65.2,0.9,0
C10011,2024-11,530,140,27.5,3.2,60.6,0.1,1
C10011,2024-12,291,249,28.2,0.3,54.6,0.1,1
C10012,2024-01,421,179,44.1,1.1,48.5,1.4,0
C10012,2024-02,315,33,56.6,0.4,43.3,3.0,4
C10012,2024-03,201,158,58.2,1.0,19.5,0.0,2
C10012,2024-04,522,140,62.4,0.2,51.0,2.0,0
C10012,2024-05,177,111,50.9,0.0,58.4,0.0,1
C10012,2024-06,480,221,48.5,0.6,5.7,1.0,2
C10012,2024-07,401,103,37.8,1.0,60.4,1.2,1
C10012,2024-08,356,190,53.0,1.1,30.7,2.4,2
C10012,2024-09,503,214,34.6,1.8,0.2,1.1,1
C10012,2024-10,290,147,38.0,0.1,69.2,0.9,1
C10012,2024-11,461,209,65.1,0.7,43.2,0.0,1
C10012,2024-12,310,94,37.8,0.9,39.4,0.3,0
C10013,2024-01,257,87,55.9,0.9,30.4,1.1,3
C10013,2024-02,384,168,26.1,0.9,58.9,2.7,1
C10013,2024-03,534,98,24.3,1.0,84.2,1.0,3
C10013,2024-04,496,225,66.8,0.8,65.6,0.5,2
C10013,2024-05,632,124,85.2,0.5,64.3,4.5,1
C10013,2024-06,599,0,46.5,0.9,51.3,0.5,3
C10013,2024-07,273,289,54.3,0.1,59.7,0.5,2
C10013,2024-08,500,152,50.0,0.7,72.3,0.9,2
C10013,2024-09,514,311,49.6,0.3,67.5,1.2,0
C10013,2024-10,570,66,54.1,0.7,69.0,0.2,1
C10013,2024-11,499,100,78.2,2.5,60.9,0.2,1
C10013,2024-12,584,268,72.1,0.0,53.8,1.8,0
C10014,2024-01,252,155,49.9,0.3,28.9,0.4,1
C10014,2024-02,488,44,30.8,0.1,70.1,0.3,2
C10014,2024-03,289,179,37.5,0.3,31.7,0.3,1
C10014,2024-04,452,97,18.8,0.9,66.5,0.9,1
C10014,2024-05,380,203,40.1,1.4,32.5,0.3,0
C10014,2024-06,453,162,39.7,0.8,36.0,0.6,1
C10014,2024-07,280,104,35.8,0.8,46.7,0.7,0
C10014,2024-08,410,305,34.4,1.9,15.7,0.3,1
C10014,2024-09,249,223,48.4,0.1,31.2,0.2,0
C10014,2024-10,418,16,23.0,1.6,16.8,1.3,2
C10014,2024-11,406,280,41.6,0.1,72.1,1.0,2
C10014,2024-12,217,66,22.4,0.4,46.4,0.1,0
C10015,2024-01,404,171,38.7,0.0,39.1,0.1,2
C10015,2024-02,445,134,30.8,0.1,33.7,1.0,0
C10015,2024-03,361,66,45.9,0.2,78.3,0.2,1
C10015,2024-04,271,268,23.2,0.4,49.4,0.2,0
C10015,2024-05,258,60,27.7,0.7,57.9,0.7,1
C10015,2024-06,411,116,40.0,0.1,38.4,1.1,1
C10015,2024-07,398,169,35.7,1.6,47.0,0.8,0
C10015,2024-08,293,0,32.5,0.1,56.4,1.2,0
C10015,2024-09,290,179,22.5,1.9,46.4,0.8,2
C10015,2024-10,305,3,47.7,0.4,49.1,0.7,1
C10015,2024-11,294,214,25.2,0.3,64.6,0.0,2
C10015,2024-12,495,67,37.6,0.5,28.4,0.1,0
C10016,2024-01,340,37,62.4,1.1,62.4,0.0,3
C10016,2024-02,305,100,47.3,0.1,42.3,0.2,1
C10016,2024-03,218,0,33.4,0.6,71.5,0.4,2
C10016,2024-04,370,258,42.0,0.5,70.6,1.2,1
C10016,2024-05,286,145,74.0,2.7,22.7,2.3,1
C10016,2024-06,273,161,52.8,1.6,56.6,1.5,0
C10016,2024-07,10,198,58.1,0.5,36.9,0.1,1
C10016,2024-08,353,196,50.1,0.8,98.0,1.5,6
C10016,2024-09,195,118,61.8,0.2,33.1,0.7,4
C10016,2024-10,450,160,33.9,2.1,33.8,1.3,2
C10016,2024-11,207,150,17.4,0.6,9.2,1.1,4
C10016,2024-12,117,238,48.4,1.7,71.3,3.9,0
C10017,2024-01,627,67,38.0,1.3,48.1,2.4,1
C10017,2024-02,623,0,56.7,0.2,6.6,1.4,2
C10017,2024-03,400,124,44.1,1.2,66.5,0.0,1
C10017,2024-04,437,198,48.9,0.4,75.2,1.8,0
C10017,2024-05,242,231,46.8,0.5,70.5,0.7,0
C10017,2024-06,463,119,49.0,0.8,64.4,1.5,0
C10017,2024-07,620,183,73.5,0.1,61.2,1.1,1
C10017,2024-08,506,141,53.2,0.8,37.3,0.1,0
C10017,2024-09,402,135,47.7,0.4,49.7,1.7,0
C10017,2024-10,267,138,57.1,5.9,46.6,0.1,0
C10017,2024-11,390,156,44.6,1.9,55.8,0.1,0
C10017,2024-12,253,210,39.8,1.1,60.1,0.6,0
C10018,2024-01,485,56,43.3,0.0,83.2,0.1,2
C10018,2024-02,406,128,41.2,2.0,34.3,0.1,1
C10018,2024-03,454,236,55.7,1.7,50.6,0.0,1
C10018,2024-04,553,65,67.7,1.5,83.6,0.1,0
C10018,2024-05,495,149,61.1,2.2,63.6,1.4,3
C10018,2024-06,309,216,52.4,0.1,90.6,1.3,0
C10018,2024-07,329,211,72.2,0.1,64.4,2.3,0
C10018,2024-08,541,144,59.4,0.0,51.8,0.4,1
C10018,2024-09,441,44,55.9,1.0,77.1,0.2,0
C10018,2024-10,472,23,57.9,1.0,32.7,0.8,0
C10018,2024-11,536,221,35.9,0.1,92.4,0.0,0
C10018,2024-12,524,143,73.5,0.3,78.2,0.5,0
C10019,2024-01,272,133,53.2,0.4,39.6,1.1,1
C10019,2024-02,333,134,40.0,0.8,40.1,0.3,0
C10019,2024-03,433,126,25.3,0.0,18.1,1.7,0
C10019,2024-04,410,126,74.3,0.2,64.7,0.4,2
C10019,2024-05,313,129,30.3,0.8,47.6,0.4,1
C10019,2024-06,332,245,43.0,0.1,44.2,0.5,0
C10019,2024-07,604,235,41.6,0.8,34.1,0.9,0
C10019,2024-08,428,46,43.7,0.0,31.1,0.2,2
C10019,2024-09,363,188,43.6,0.9,46.3,0.6,0
C10019,2024-10,288,179,33.4,1.4,33.4,0.6,0
C10019,2024-11,322,243,6.4,1.6,49.7,0.2,0
C10019,2024-12,438,70,23.0,0.1,55.7,0.6,1
C10020,2024-01,359,44,19.9,1.1,39.5,1.0,0
C10020,2024-02,308,119,55.2,0.6,55.5,0.5,1
C10020,2024-03,358,309,33.6,0.2,54.2,0.1,1
C10020,2024-04,342,0,39.3,1.4,28.5,0.3,0
C10020,2024-05,384,124,37.0,0.2,35.0,1.3,0
C10020,2024-06,134,27,34.8,0.8,51.6,0.1,2
C10020,2024-07,109,83,44.7,2.5,22.2,0.3,1
C10020,2024-08,299,177,28.3,1.0,5.6,0.8,0
C10020,2024-09,265,141,23.5,0.7,22.4,0.5,2
C10020,2024-10,259,161,40.9,0.5,77.4,0.7,0
C10020,2024-11,381,47,33.0,0.2,64.9,0.4,1
C10020,2024-12,327,214,63.7,0.2,37.7,2.2,0
C10021,2024-01,406,141,56.5,0.2,70.0,1.6,0
C10021,2024-02,550,179,57.8,1.6,67.8,3.1,0
C10021,2024-03,556,41,56.8,0.1,95.3,1.1,1
C10021,2024-04,533,68,78.9,0.3,73.4,0.5,2
C10021,2024-05,355,213,44.8,0.4,54.5,0.0,0
C10021,2024-06,589,232,50.5,0.7,57.3,0.2,0
C10021,2024-07,371,109,60.2,1.1,23.2,0.0,0
C10021,2024-08,469,152,33.2,1.1,38.4,0.2,0
C10021,2024-09,374,39,52.8,1.1,52.5,0.4,0
C10021,2024-10,641,104,36.7,2.2,55.4,0.5,0
C10021,2024-11,349,242,48.0,0.8,55.1,0.0,0
C10021,2024-12,381,98,66.4,1.0,73.9,0.6,1
C10022,2024-01,414,56,36.7,0.2,31.3,0.1,1
C10022,2024-02,394,131,38.7,0.2,82.9,0.2,2
C10022,2024-03,318,62,50.0,0.9,65.6,0.4,2
C10022,2024-04,434,266,61.4,0.6,47.8,0.0,1
C10022,2024-05,404,74,38.3,1.5,68.9,0.0,0
C10022,2024-06,456,68,34.2,0.3,94.9,1.0,0
C10022,2024-07,379,82,47.8,1.2,71.0,0.7,0
C10022,2024-08,213,264,67.2,1.4,67.7,0.0,0
C10022,2024-09,474,122,54.4,0.1,84.7,0.1,2
C10022,2024-10,694,130,28.5,0.2,46.2,0.9,1
C10022,2024-11,466,97,14.4,1.4,75.6,0.4,0
C10022,2024-12,487,113,41.3,0.8,67.3,0.3,2
C10023,2024-01,619,165,89.4,1.8,62.8,0.1,0
C10023,2024-02,549,178,58.7,1.4,82.1,0.7,0
C10023,2024-03,374,178,45.4,0.3,39.2,0.2,0
C10023,2024-04,619,128,56.6,0.4,69.3,0.8,0
C10023,2024-05,465,112,69.0,0.8,74.4,0.1,2
C10023,2024-06,367,209,50.3,0.5,58.4,1.4,2
C10023,2024-07,589,61,57.0,2.0,58.4,0.3,1
C10023,2024-08,499,85,66.0,0.5,89.0,0.7,4
C10023,2024-09,338,153,58.6,1.3,57.2,0.6,0
C10023,2024-10,395,0,21.3,3.7,70.3,1.2,0
C10023,2024-11,448,142,56.1,0.2,42.1,0.6,2
C10023,2024-12,404,126,46.1,0.6,59.6,0.7,1
C10024,2024-01,180,72,41.7,0.3,31.7,1.1,3
C10024,2024-02,315,137,52.8,3.5,12.5,1.7,2
C10024,2024-03,381,193,71.6,1.1,59.7,0.2,0
C10024,2024-04,412,171,49.8,0.2,45.0,0.6,2
C10024,2024-05,170,131,61.8,0.3,47.2,1.8,1
C10024,2024-06,230,199,50.8,1.0,24.7,0.6,0
C10024,2024-07,347,170,45.3,0.0,14.1,0.5,2
C10024,2024-08,240,209,23.1,0.4,56.2,0.3,2
C10024,2024-09,316,106,50.3,0.4,23.4,1.2,5
C10024,2024-10,144,75,47.5,0.4,54.7,1.7,1
C10024,2024-11,568,245,43.2,1.3,69.1,0.4,1
C10024,2024-12,432,117,54.2,0.3,35.9,0.0,0
C10025,2024-01,225,201,56.3,0.3,64.2,0.4,0
C10025,2024-02,304,164,31.3,0.9,25.7,0.7,2
C10025,2024-03,499,119,34.6,0.5,57.2,1.4,0
C10025,2024-04,420,136,29.3,0.3,59.2,0.3,3
C10025,2024-05,494,47,31.9,2.3,89.8,0.0,1
C10025,2024-06,427,223,31.8,1.0,38.5,0.2,0
C10025,2024-07,372,33,24.9,0.7,67.9,1.0,0
C10025,2024-08,210,222,39.8,0.2,27.3,1.0,0
C10025,2024-09,325,74,60.0,0.2,56.9,1.1,1
C10025,2024-10,336,252,35.1,0.1,36.9,2.7,0
C10025,2024-11,167,201,21.9,1.2,56.9,0.1,3
C10025,2024-12,367,115,13.8,0.2,52.1,0.5,0
C10026,2024-01,332,60,66.0,0.1,33.4,1.1,1
C10026,2024-02,270,202,50.5,0.7,48.5,0.6,2
C10026,2024-03,229,268,52.3,0.3,60.0,1.0,1
C10026,2024-04,292,154,16.1,0.3,48.3,0.7,2
C10026,2024-05,169,181,44.8,0.4,39.2,0.2,1
C10026,2024-06,338,195,38.8,0.3,12.5,1.4,1
C10026,2024-07,353,102,38.1,0.6,39.0,1.8,1
C10026,2024-08,292,156,52.4,1.5,48.2,0.1,1
C10026,2024-09,400,59,39.1,0.2,56.8,0.0,3
C10026,2024-10,274,47,53.0,0.6,69.7,1.0,0
C10026,2024-11,346,139,46.2,0.3,30.2,0.9,3
C10026,2024-12,287,140,36.1,1.4,60.8,0.3,0
C10027,2024-01,242,117,40.6,0.0,33.1,0.8,1
C10027,2024-02,296,63,36.6,0.4,48.6,0.4,1
C10027,2024-03,515,224,38.7,0.2,31.8,0.9,1
C10027,2024-04,305,146,37.0,1.6,68.9,0.1,1
C10027,2024-05,373,58,28.8,0.1,48.2,5.0,1
C10027,2024-06,243,79,16.2,0.5,48.5,0.2,1
C10027,2024-07,303,153,35.4,0.5,68.4,0.4,2
C10027,2024-08,406,62,53.0,0.1,25.3,1.1,1
C10027,2024-09,240,281,37.0,0.5,24.5,0.1,2
C10027,2024-10,261,207,23.8,1.1,58.2,1.4,1
C10027,2024-11,246,41,39.8,0.9,29.7,2.0,1
C10027,2024-12,278,134,59.7,0.0,58.4,1.0,2
C10028,2024-01,520,88,14.9,0.7,48.0,0.8,1
C10028,2024-02,378,150,33.9,0.1,32.7,1.1,1
C10028,2024-03,292,125,40.7,0.9,93.3,0.2,0
C10028,2024-04,326,121,49.0,0.8,43.4,0.3,0
C10028,2024-05,365,128,44.3,0.2,83.9,1.1,0
C10028,2024-06,238,97,61.3,2.5,68.2,0.2,0
C10028,2024-07,342,317,27.9,0.5,45.3,0.2,0
C10028,2024-08,245,61,19.0,3.1,27.3,1.6,3
C10028,2024-09,381,135,19.7,0.9,54.9,0.1,0
C10028,2024-10,238,84,30.9,0.1,41.5,0.5,1
C10028,2024-11,304,76,13.4,0.3,55.7,0.3,0
C10028,2024-12,395,98,33.3,0.3,15.0,0.1,0
C10029,2024-01,582,161,33.5,0.5,41.7,0.6,1
C10029,2024-02,252,237,42.0,0.2,73.7,0.3,2
C10029,2024-03,437,73,78.6,1.3,38.1,1.1,1
C10029,2024-04,432,177,77.9,0.4,63.2,0.1,1
C10029,2024-05,565,131,30.5,0.4,82.8,0.3,0
C10029,2024-06,407,40,53.5,1.0,46.7,0.7,1
C10029,2024-07,432,48,69.8,0.1,93.5,0.0,1
C10029,2024-08,557,86,35.9,0.5,58.1,0.5,0
C10029,2024-09,423,170,42.4,0.4,70.2,0.8,0
C10029,2024-10,324,160,54.0,0.9,47.2,0.1,1
C10029,2024-11,422,119,52.9,0.4,90.3,1.8,0
C10029,2024-12,390,86,53.1,0.3,35.4,0.4,2
C10030,2024-01,288,124,18.4,0.1,49.5,0.4,0
C10030,2024-02,232,216,38.2,0.7,33.4,0.7,1
C10030,2024-03,167,84,36.0,0.1,52.4,0.1,2
C10030,2024-04,373,172,20.0,0.1,49.6,0.5,0
C10030,2024-05,311,345,32.3,0.0,47.6,0.8,0
C10030,2024-06,388,283,63.0,0.1,22.1,0.3,1
C10030,2024-07,175,135,29.2,1.4,61.2,0.6,0
C10030,2024-08,198,311,31.1,0.8,84.4,0.2,2
C10030,2024-09,314,229,48.5,1.3,53.4,0.6,0
C10030,2024-10,290,91,49.0,0.7,32.0,0.0,1
C10030,2024-11,378,119,36.9,0.1,45.1,1.1,0
C10030,2024-12,336,239,57.5,0.4,44.4,1.0,0
C10031,2024-01,602,206,50.4,0.7,69.6,0.3,0
C10031,2024-02,502,187,69.0,0.1,57.1,0.6,2
C10031,2024-03,396,249,54.8,1.2,86.5,0.0,1
C10031,2024-04,619,201,61.4,0.1,55.3,0.6,1
C10031,2024-05,489,170,25.7,0.4,65.1,2.1,0
C10031,2024-06,360,150,62.9,0.3,51.0,2.6,1
C10031,2024-07,464,49,33.0,0.8,32.3,0.7,0
C10031,2024-08,610,139,36.0,0.3,60.6,0.1,0
C10031,2024-09,529,0,55.6,4.0,51.9,2.0,1
C10031,2024-10,304,152,59.9,1.1,74.8,1.0,0
C10031,2024-11,355,232,42.0,1.0,70.7,2.1,0
C10031,2024-12,259,100,51.5,0.5,89.4,0.8,0
C10032,2024-01,458,89,32.8,0.3,37.6,0.2,2
C10032,2024-02,99,206,71.3,1.8,48.0,0.1,0
C10032,2024-03,172,253,12.9,4.8,55.5,0.3,0
C10032,2024-04,173,187,0.5,0.5,25.0,1.0,0
C10032,2024-05,327,146,23.8,0.3,36.5,0.2,1
C10032,2024-06,257,117,47.7,0.8,37.0,0.2,3
C10032,2024-07,323,307,20.0,0.7,35.4,1.3,2
C10032,2024-08,432,233,54.3,0.2,70.6,0.1,1
C10032,2024-09,47,65,55.1,1.1,35.1,1.4,0
C10032,2024-10,423,150,27.9,0.0,53.9,1.0,2
C10032,2024-11,166,214,7.8,2.0,29.7,0.2,1
C10032,2024-12,402,273,47.8,0.4,32.7,0.1,1
C10033,2024-01,457,236,36.9,1.4,74.1,0.7,0
C10033,2024-02,426,192,63.3,0.7,43.2,0.2,0
C10033,2024-03,274,86,66.5,0.5,88.1,0.3,0
C10033,2024-04,397,123,40.7,0.6,43.5,0.9,0
C10033,2024-05,602,256,58.7,0.7,52.6,0.4,1
C10033,2024-06,179,180,62.3,1.5,71.1,0.9,0
C10033,2024-07,421,170,51.1,0.5,67.9,0.8,1
C10033,2024-08,505,274,65.3,0.2,40.6,0.7,0
C10033,2024-09,205,216,55.3,0.8,29.8,2.0,2
C10033,2024-10,404,133,67.1,0.4,57.2,0.4,0
C10033,2024-11,424,132,39.5,0.7,103.0,0.5,2
C10033,2024-12,203,139,49.5,0.8,44.0,0.0,1
C10034,2024-01,153,102,35.8,0.1,65.7,0.2,1
C10034,2024-02,740,88,27.7,0.1,74.5,1.4,1
C10034,2024-03,624,124,44.7,1.8,66.5,0.2,0
C10034,2024-04,475,107,67.9,2.0,83.6,0.3,1
C10034,2024-05,519,230,76.7,1.9,91.7,0.4,0
C10034,2024-06,517,178,60.0,0.1,66.1,0.1,1
C10034,2024-07,529,98,38.4,0.6,54.6,0.7,0
C10034,2024-08,316,239,82.4,0.2,50.3,0.5,1
C10034,2024-09,493,100,37.4,1.1,50.3,0.8,0
C10034,2024-10,490,193,40.8,1.0,30.6,0.1,0
C10034,2024-11,506,285,66.4,0.2,104.2,0.3,1
C10034,2024-12,349,271,44.7,0.2,44.2,0.6,0
C10035,2024-01,258,79,48.6,1.3,52.7,0.1,1
C10035,2024-02,427,97,21.6,0.5,43.4,0.1,0
C10035,2024-03,80,127,39.4,1.5,58.6,0.9,1
C10035,2024-04,227,117,61.2,2.6,39.0,0.3,1
C10035,2024-05,222,111,45.6,0.1,40.7,0.2,0
C10035,2024-06,398,131,34.2,2.4,41.2,0.4,0
C10035,2024-07,485,135,41.1,0.7,49.5,1.2,1
C10035,2024-08,272,245,35.1,0.8,35.2,0.1,0
C10035,2024-09,224,201,43.3,1.5,33.2,0.0,0
C10035,2024-10,304,179,36.5,0.2,49.7,0.1,0
C10035,2024-11,367,205,31.2,0.4,55.8,0.6,2
C10035,2024-12,518,124,38.6,0.8,60.2,1.3,0
C10036,2024-01,412,0,45.6,0.3,38.9,2.9,0
C10036,2024-02,391,135,49.7,0.7,56.6,0.4,1
C10036,2024-03,247,215,29.2,0.5,70.9,0.9,1
C10036,2024-04,210,120,48.1,0.2,33.2,0.1,2
C10036,2024-05,544,115,32.1,0.8,52.9,0.6,2
C10036,2024-06,244,73,59.9,1.3,66.7,0.2,1
C10036,2024-07,119,165,44.2,2.5,33.9,2.4,2
C10036,2024-08,438,56,39.8,0.0,32.5,0.7,1
C10036,2024-09,125,66,68.5,0.1,50.4,1.7,0
C10036,2024-10,550,44,46.8,0.1,55.9,0.8,1
C10036,2024-11,320,40,52.0,0.7,34.2,0.1,2
C10036,2024-12,334,108,56.2,0.0,41.8,0.0,2
C10037,2024-01,217,190,48.3,0.1,53.2,0.2,0
C10037,2024-02,250,206,58.8,0.5,45.4,0.3,0
C10037,2024-03,207,152,27.1,0.9,61.3,0.6,1
C10037,2024-04,391,110,54.7,0.4,53.5,0.6,1
C10037,2024-05,448,171,24.7,0.0,78.0,0.6,0
C10037,2024-06,165,89,36.3,0.4,5.3,0.5,0
C10037,2024-07,428,166,38.6,0.8,18.3,0.5,0
C10037,2024-08,294,144,45.8,0.0,5.9,0.4,2
C10037,2024-09,175,89,51.8,0.6,49.4,0.6,0
C10037,2024-10,153,84,24.8,0.2,70.8,0.3,2
C10037,2024-11,434,256,56.9,1.1,65.1,0.1,1
C10037,2024-12,338,105,25.6,0.7,63.6,0.0,1
C10038,2024-01,223,128,44.1,0.2,50.8,0.6,0
C10038,2024-02,152,81,47.2,0.1,23.9,1.2,1
C10038,2024-03,290,349,55.4,0.6,28.9,1.6,0
C10038,2024-04,197,59,6.2,0.1,21.0,0.3,1
