customer_id,gender,age,city,region,join_date,contract_type,payment_method,senior_citizen,partner,dependents,paperless_billing
C10077,Female,43,Alexandria,Delta,2021-09-11,Month-to-month,Bank transfer,No,Yes,No,Yes
C10078,Male,37,Ismailia,Suez,2022-10-02,Month-to-month,Electronic check,No,No,No,Yes
C10079,Male,43,Mansoura,Delta,2022-09-05,Month-to-month,Electronic check,No,Yes,Yes,Yes
C10080,Female,18,Giza,Greater Cairo,2021-05-23,Month-to-month,Credit card,No,Yes,No,Yes
C10081,Female,38,Mansoura,Delta,2023-04-20,Two year,Electronic check,No,Yes,Yes,Yes
C10082,Female,46,Ismailia,Suez,2020-06-15,Month-to-month,Electronic check,Yes,Yes,No,Yes
C10083,Female,62,Mansoura,Delta,2020-03-07,Month-to-month,Bank transfer,No,No,Yes,Yes
C10084,Female,34,Ismailia,Suez,2023-04-22,One year,Credit card,No,Yes,Yes,No
C10085,Male,30,Giza,Greater Cairo,2020-05-02,Month-to-month,Electronic check,No,No,No,Yes
C10086,Female,34,Hurghada,Red Sea,2022-04-04,Two year,Mailed check,No,Yes,Yes,No
C10087,Female,54,Suez,Suez,2021-05-27,Month-to-month,Electronic check,No,Yes,No,Yes
C10088,Male,46,Aswan,Upper Egypt,2022-11-28,One year,Credit card,No,No,No,No
C10089,Female,34,Assiut,Upper Egypt,2022-04-16,Month-to-month,Bank transfer,No,No,No,Yes
C10090,Female,49,Ismailia,Suez,2022-03-31,Two year,Bank transfer,No,No,No,Yes
C10091,Female,43,Port Said,Suez,2020-01-03,One year,Bank transfer,No,Yes,No,Yes
C10092,Female,55,Ismailia,Suez,2022-06-24,One year,Electronic check,No,No,No,No
C10093,Female,32,Giza,Greater Cairo,2020-02-29,Two year,Bank transfer,No,Yes,No,Yes
C10094,Female,37,Giza,Greater Cairo,2021-04-05,Two year,Credit card,No,Yes,Yes,Yes
C10095,Female,36,Port Said,Suez,2023-12-15,Month-to-month,Credit card,No,Yes,No,Yes
C10096,Female,21,Tanta,Delta,2023-05-12,Month-to-month,Credit card,No,No,No,Yes
C10097,Female,46,Cairo,Greater Cairo,2021-08-02,One year,Credit card,No,No,Yes,Yes
C10098,Female,45,Assiut,Upper Egypt,2021-11-11,One year,Bank transfer,No,No,Yes,No
C10099,Male,42,Suez,Suez,2022-02-23,Month-to-month,Credit card,Yes,No,No,Yes
C10100,Male,38,Aswan,Upper Egypt,2020-03-16,Month-to-month,Credit card,No,Yes,No,Yes
C10101,Female,22,Cairo,Greater Cairo,2020-10-22,Month-to-month,Bank transfer,Yes,No,No,Yes
C10102,Female,36,Ismailia,Suez,2020-06-13,Two year,Credit card,No,No,No,Yes
C10103,Female,37,Port Said,Suez,2020-03-14,One year,Electronic check,No,No,Yes,Yes
C10104,Female,30,Giza,Greater Cairo,2023-07-21,One year,Electronic check,No,No,Yes,Yes
C10105,Male,39,Mansoura,Delta,2022-01-04,Month-to-month,Electronic check,No,Yes,Yes,Yes
C10106,Female,47,Suez,Suez,2023-10-31,Month-to-month,Credit card,Yes,No,No,Yes
C10107,Male,68,Aswan,Upper Egypt,2021-08-12,One year,Electronic check,No,No,No,Yes
C10108,Female,44,Hurghada,Red Sea,2021-05-27,Month-to-month,Electronic check,No,No,Yes,Yes
C10109,Female,45,Suez,Suez,2021-08-28,Two year,Electronic check,No,No,No,Yes
C10110,Male,40,Suez,Suez,2022-10-14,Two year,Credit card,No,Yes,No,Yes
C10111,Male,18,Suez,Suez,2021-05-28,One year,Bank transfer,No,Yes,Yes,No
C10112,Male,41,Mansoura,Delta,2022-06-21,Month-to-month,Mailed check,Yes,No,No,Yes
C10113,Male,42,Tanta,Delta,2020-09-27,One year,Credit card,No,No,Yes,Yes
C10114,Female,76,Mansoura,Delta,2021-11-24,Two year,Mailed check,Yes,Yes,No,No
C10115,Female,39,Giza,Greater Cairo,2022-03-19,Month-to-month,Bank transfer,No,No,No,No
C10116,Female,46,Giza,Greater Cairo,2023-10-14,Month-to-month,Electronic check,No,No,Yes,Yes
C10117,Female,41,Hurghada,Red Sea,2021-09-10,One year,Electronic check,Yes,Yes,No,No
C10118,Male,25,Giza,Greater Cairo,2021-04-25,Two year,Electronic check,No,No,Yes,No
C10119,Male,57,Aswan,Upper Egypt,2023-06-14,Month-to-month,Credit card,Yes,No,Yes,Yes
C10120,Male,52,Assiut,Upper Egypt,2020-07-22,Two year,Mailed check,No,No,Yes,Yes
C10121,Male,53,Giza,Greater Cairo,2022-07-20,Month-to-month,Electronic check,No,Yes,Yes,No
C10122,Male,29,Alexandria,Delta,2023-03-02,Month-to-month,Credit card,No,Yes,Yes,Yes
C10123,Male,61,Suez,Suez,2020-01-06,Month-to-month,Credit card,No,No,Yes,Yes
C10124,Male,22,Alexandria,Delta,2020-01-31,Month-to-month,Credit card,No,Yes,Yes,Yes
C10125,Male,50,Hurghada,Red Sea,2022-05-12,One year,Bank transfer,No,No,Yes,Yes
C10126,Male,72,Suez,Suez,2020-03-29,One year,Credit card,No,No,No,Yes
C10127,Male,28,Cairo,Greater Cairo,2022-09-07,Two year,Mailed check,Yes,No,Yes,No
C10128,Female,34,Suez,Suez,2020-10-30,Month-to-month,Electronic check,No,No,No,No
C10129,Female,43,Aswan,Upper Egypt,2022-11-01,One year,Electronic check,No,Yes,No,Yes
C10130,Male,34,Luxor,Upper Egypt,2021-11-25,Two year,Mailed check,No,No,No,Yes
C10131,Female,20,Assiut,Upper Egypt,2020-11-08,One year,Mailed check,Yes,Yes,Yes,Yes
C10132,Female,42,Alexandria,Delta,2023-02-13,Month-to-month,Credit card,No,Yes,No,Yes
C10133,Female,27,Hurghada,Red Sea,2020-04-15,Two year,Bank transfer,No,Yes,Yes,Yes
C10134,Male,48,Giza,Greater Cairo,2021-12-18,Two year,Mailed check,No,Yes,No,No
C10135,Male,29,Suez,Suez,2023-09-09,Two year,Electronic check,No,No,No,Yes
C10136,Male,63,Alexandria,Delta,2023-03-05,One year,Electronic check,No,Yes,Yes,Yes
C10137,Male,31,Luxor,Upper Egypt,2022-05-09,Month-to-month,Electronic check,No,No,Yes,No
C10138,Male,37,Alexandria,Delta,2023-06-19,Month-to-month,Electronic check,No,No,No,Yes
C10139,Female,53,Mansoura,Delta,2021-03-17,One year,Electronic check,No,No,No,Yes
C10140,Female,24,Cairo,Greater Cairo,2021-03-27,Month-to-month,Bank transfer,Yes,No,Yes,Yes
C10141,Female,45,Mansoura,Delta,2021-11-02,Month-to-month,Mailed check,No,Yes,No,Yes
C10142,Male,60,Port Said,Suez,2023-02-18,Two year,Credit card,Yes,Yes,No,Yes
C10143,Male,19,Assiut,Upper Egypt,2023-03-25,Month-to-month,Mailed check,No,No,Yes,Yes
C10144,Female,44,Alexandria,Delta,2023-06-19,Month-to-month,Bank transfer,No,No,Yes,Yes
C10145,Female,45,Port Said,Suez,2020-06-10,Month-to-month,Electronic check,No,No,Yes,Yes
C10146,Male,52,Port Said,Suez,2022-11-10,Month-to-month,Credit card,No,Yes,Yes,Yes
C10147,Female,24,Tanta,Delta,2020-12-21,One year,Credit card,No,Yes,No,Yes
C10148,Female,23,Ismailia,Suez,2023-03-02,One year,Credit card,No,No,Yes,Yes
C10149,Female,49,Aswan,Upper Egypt,2023-07-17,Month-to-month,Electronic check,Yes,Yes,No,Yes
C10150,Male,46,Cairo,Greater Cairo,2022-01-25,Two year,Electronic check,No,Yes,No,Yes
C10151,Male,45,Aswan,Upper Egypt,2023-03-16,One year,Electronic check,No,Yes,Yes,Yes
C10152,Female,46,Hurghada,Red Sea,2020-06-21,Month-to-month,Electronic check,No,No,No,Yes
C10153,Male,32,Assiut,Upper Egypt,2022-02-02,Two year,Mailed check,No,Yes,No,Yes
C10154,Male,45,Port Said,Suez,2023-10-21,Month-to-month,Electronic check,No,Yes,No,Yes
C10155,Male,46,Assiut,Upper Egypt,2021-09-27,Two year,Bank transfer,No,Yes,No,Yes
C10156,Female,31,Alexandria,Delta,2023-10-04,One year,Credit card,No,Yes,No,Yes
C10157,Male,68,Assiut,Upper Egypt,2021-09-24,Month-to-month,Electronic check,No,No,Yes,Yes
C10158,Male,48,Alexandria,Delta,2020-06-07,Month-to-month,Credit card,No,Yes,No,No
C10159,Male,25,Suez,Suez,2022-02-10,Month-to-month,Electronic check,No,Yes,No,Yes
C10160,Female,51,Ismailia,Suez,2021-05-01,Two year,Bank transfer,No,No,Yes,Yes
C10161,Female,28,Aswan,Upper Egypt,2021-02-01,Month-to-month,Credit card,No,No,No,Yes
C10162,Female,53,Alexandria,Delta,2021-02-12,Two year,Electronic check,No,No,No,Yes
C10163,Male,58,Hurghada,Red Sea,2022-11-22,Two year,Electronic check,No,No,No,No
C10164,Male,30,Luxor,Upper Egypt,2020-07-06,Two year,Electronic check,No,No,Yes,Yes
C10165,Female,55,Port Said,Suez,2022-02-04,Month-to-month,Credit card,No,Yes,No,No
C10166,Female,47,Alexandria,Delta,2020-10-08,Month-to-month,Credit card,No,Yes,No,Yes
C10167,Male,53,Giza,Greater Cairo,2020-02-08,Month-to-month,Credit card,No,No,Yes,Yes
C10168,Male,68,Mansoura,Delta,2020-09-06,Month-to-month,Mailed check,No,No,Yes,Yes
C10169,Female,38,Suez,Suez,2023-01-02,Month-to-month,Mailed check,No,Yes,No,Yes
C10170,Female,31,Tanta,Delta,2023-03-14,Month-to-month,Bank transfer,Yes,No,Yes,No
C10171,Male,29,Luxor,Upper Egypt,2022-08-20,Month-to-month,Mailed check,No,Yes,No,No
C10172,Female,30,Tanta,Delta,2023-09-07,One year,Credit card,No,No,Yes,Yes
C10173,Female,40,Ismailia,Suez,2020-12-24,Two year,Bank transfer,No,No,Yes,No
C10174,Male,46,Hurghada,Red Sea,2022-07-26,Month-to-month,Electronic check,No,Yes,No,No
C10175,Female,45,Port Said,Suez,2022-08-27,Month-to-month,Bank transfer,No,No,Yes,No
C10176,Female,53,Mansoura,Delta,2020-09-11,One year,Mailed check,No,No,No,Yes
C10177,Male,42,Aswan,Upper Egypt,2023-11-18,Month-to-month,Credit card,No,Yes,No,Yes
C10178,Male,62,Port Said,Suez,2021-08-24,Month-to-month,Electronic check,No,No,No,Yes
C10179,Female,38,Alexandria,Delta,2023-11-13,Month-to-month,Mailed check,No,No,No,Yes
C10180,Male,80,Giza,Greater Cairo,2023-10-06,One year,Mailed check,No,Yes,Yes,Yes
C10181,Female,50,Cairo,Greater Cairo,2020-09-15,Month-to-month,Credit card,No,No,Yes,Yes
C10182,Female,29,Assiut,Upper Egypt,2022-01-31,Month-to-month,Electronic check,Yes,No,No,Yes
C10183,Female,27,Tanta,Delta,2020-08-20,Month-to-month,Electronic check,No,Yes,No,Yes
C10184,Female,48,Tanta,Delta,2023-06-07,Month-to-month,Credit card,No,Yes,Yes,No
C10185,Female,38,Alexandria,Delta,2022-06-30,Two year,Credit card,No,No,No,Yes
C10186,Female,51,Mansoura,Delta,2020-11-18,One year,Credit card,No,No,Yes,Yes
C10187,Male,48,Alexandria,Delta,2021-04-29,One year,Electronic check,No,No,No,No
C10188,Male,40,Suez,Suez,2020-06-25,Month-to-month,Mailed check,No,No,No,Yes
C10189,Male,30,Alexandria,Delta,2021-10-11,One year,Mailed check,No,No,Yes,No
C10190,Male,20,Alexandria,Delta,2022-06-05,Month-to-month,Credit card,No,Yes,No,Yes
C10191,Female,35,Hurghada,Red Sea,2021-04-06,Month-to-month,Credit card,No,Yes,No,Yes
C10192,Female,53,Alexandria,Delta,2023-07-04,Month-to-month,Bank transfer,No,Yes,Yes,Yes
C10193,Female,44,Suez,Suez,2020-03-25,Two year,Electronic check,Yes,No,Yes,Yes
C10194,Female,24,Suez,Suez,2023-08-01,Month-to-month,Credit card,No,No,No,Yes
C10195,Female,44,Mansoura,Delta,2022-07-17,Month-to-month,Electronic check,No,No,No,Yes
C10196,Male,47,Assiut,Upper Egypt,2021-10-15,One year,Credit card,No,Yes,No,Yes
C10197,Male,29,Assiut,Upper Egypt,2021-05-10,Month-to-month,Electronic check,No,Yes,Yes,Yes
C10198,Female,44,Suez,Suez,2022-05-06,Month-to-month,Credit card,Yes,No,No,Yes
C10199,Male,42,Aswan,Upper Egypt,2022-11-20,Month-to-month,Credit card,No,Yes,No,Yes
C10200,Male,25,Tanta,Delta,2023-04-09,Month-to-month,Electronic check,No,No,No,Yes
C10201,Male,47,Luxor,Upper Egypt,2020-10-01,Two year,Bank transfer,No,No,Yes,Yes
C10202,Male,49,Assiut,Upper Egypt,2023-02-07,Month-to-month,Mailed check,No,No,Yes,Yes
C10203,Male,57,Luxor,Upper Egypt,2022-02-03,One year,Electronic check,No,Yes,Yes,Yes
C10204,Female,56,Port Said,Suez,2020-03-23,Month-to-month,Electronic check,No,No,No,Yes
C10205,Male,22,Assiut,Upper Egypt,2023-06-09,Month-to-month,Mailed check,No,No,No,Yes
C10206,Female,28,Hurghada,Red Sea,2023-02-26,Month-to-month,Credit card,No,Yes,No,Yes
C10207,Male,49,Suez,Suez,2022-08-29,Month-to-month,Bank transfer,No,Yes,Yes,Yes
C10208,Male,49,Port Said,Suez,2023-07-12,One year,Credit card,No,Yes,Yes,Yes
C10209,Male,49,Tanta,Delta,2020-02-08,Month-to-month,Mailed check,No,Yes,No,Yes
C10210,Female,80,Hurghada,Red Sea,2020-05-07,One year,Mailed check,No,No,No,Yes
C10211,Male,49,Aswan,Upper Egypt,2022-12-27,Month-to-month,Mailed check,No,No,No,Yes
C10212,Male,57,Mansoura,Delta,2023-02-16,Month-to-month,Credit card,No,No,Yes,Yes
C10213,Female,55,Assiut,Upper Egypt,2022-09-09,Month-to-month,Credit card,No,No,No,Yes
C10214,Female,51,Luxor,Upper Egypt,2021-12-07,Two year,Credit card,No,No,Yes,Yes
C10215,Female,37,Ismailia,Suez,2021-06-09,One year,Electronic check,No,No,No,Yes
C10216,Male,52,Tanta,Delta,2020-04-13,One year,Bank transfer,No,Yes,Yes,Yes
C10217,Female,31,Giza,Greater Cairo,2023-10-27,One year,Electronic check,No,Yes,No,Yes
C10218,Female,38,Aswan,Upper Egypt,2023-08-25,Month-to-month,Credit card,No,Yes,Yes,Yes
C10219,Male,35,Port Said,Suez,2020-03-17,Two year,Electronic check,No,Yes,Yes,No
C10220,Female,43,Aswan,Upper Egypt,2021-01-16,Two year,Credit card,No,Yes,Yes,Yes
C10221,Male,74,Assiut,Upper Egypt,2021-08-05,Month-to-month,Bank transfer,No,Yes,No,Yes
C10222,Male,18,Assiut,Upper Egypt,2020-11-28,One year,Bank transfer,No,Yes,No,No
C10223,Male,51,Alexandria,Delta,2023-06-05,Two year,Credit card,No,No,Yes,Yes
C10224,Male,19,Alexandria,Delta,2020-10-14,Month-to-month,Credit card,Yes,No,Yes,Yes
C10225,Female,35,Assiut,Upper Egypt,2021-09-10,One year,Bank transfer,No,No,Yes,Yes
C10226,Male,57,Aswan,Upper Egypt,2021-09-20,Month-to-month,Bank transfer,No,No,Yes,Yes
C10227,Female,42,Assiut,Upper Egypt,2023-06-12,Month-to-month,Credit card,No,No,No,Yes
C10228,Female,26,Port Said,Suez,2023-09-22,Two year,Credit card,No,Yes,No,Yes
C10229,Female,31,Giza,Greater Cairo,2023-03-01,Month-to-month,Credit card,No,Yes,Yes,Yes
C10230,Female,51,Giza,Greater Cairo,2023-10-25,Month-to-month,Bank transfer,Yes,No,Yes,Yes
C10231,Female,31,Aswan,Upper Egypt,2023-02-28,Month-to-month,Mailed check,No,Yes,No,Yes
C10232,Male,45,Hurghada,Red Sea,2021-03-22,One year,Electronic check,No,Yes,Yes,No
C10233,Male,42,Aswan,Upper Egypt,2020-03-05,Month-to-month,Electronic check,Yes,No,No,No
C10234,Female,32,Aswan,Upper Egypt,2022-02-12,Month-to-month,Bank transfer,No,Yes,No,Yes
C10235,Female,72,Port Said,Suez,2020-09-17,One year,Electronic check,Yes,Yes,No,Yes
C10236,Female,50,Port Said,Suez,2022-02-15,Two year,Electronic check,No,No,Yes,No
C10237,Male,18,Cairo,Greater Cairo,2023-09-14,Month-to-month,Credit card,No,Yes,Yes,Yes
C10238,Male,44,Suez,Suez,2020-03-09,Month-to-month,Bank transfer,No,Yes,Yes,Yes
C10239,Male,32,Port Said,Suez,2021-03-20,One year,Credit card,Yes,No,Yes,No
C10240,Female,53,Suez,Suez,2023-05-09,One year,Credit card,No,Yes,Yes,Yes
C10241,Female,30,Cairo,Greater Cairo,2023-02-14,Two year,Credit card,No,No,No,Yes
C10242,Female,40,Ismailia,Suez,2023-10-06,Month-to-month,Bank transfer,No,No,Yes,Yes
C10243,Male,49,Port Said,Suez,2022-08-27,Month-to-month,Electronic check,No,Yes,No,No
C10244,Female,54,Luxor,Upper Egypt,2023-02-15,One year,Mailed check,No,No,Yes,No
C10245,Female,25,Giza,Greater Cairo,2023-01-01,One year,Electronic check,No,Yes,Yes,Yes
C10246,Male,37,Aswan,Upper Egypt,2021-03-03,Two year,Electronic check,No,Yes,Yes,No
C10247,Male,35,Hurghada,Red Sea,2022-09-07,Two year,Bank transfer,No,No,Yes,Yes
C10248,Female,32,Luxor,Upper Egypt,2022-08-12,One year,Mailed check,No,No,No,Yes
C10249,Female,66,Assiut,Upper Egypt,2021-02-20,Month-to-month,Mailed check,No,Yes,Yes,Yes
C10250,Female,47,Mansoura,Delta,2020-11-08,Month-to-month,Electronic check,No,Yes,No,Yes
C10251,Female,24,Mansoura,Delta,2022-09-27,Two year,Bank transfer,No,Yes,No,Yes
C10252,Female,54,Alexandria,Delta,2023-01-15,Two year,Credit card,No,Yes,Yes,Yes
C10253,Female,71,Alexandria,Delta,2023-07-15,Month-to-month,Bank transfer,Yes,No,No,Yes
C10254,Female,56,Ismailia,Suez,2022-09-26,Month-to-month,Bank transfer,No,Yes,No,Yes
C10255,Female,20,Cairo,Greater Cairo,2022-10-25,Two year,Bank transfer,No,Yes,Yes,No
C10256,Male,35,Tanta,Delta,2021-01-28,One year,Electronic check,No,No,Yes,Yes
C10257,Female,59,Aswan,Upper Egypt,2023-03-03,Month-to-month,Bank transfer,No,Yes,Yes,Yes
C10258,Female,32,Luxor,Upper Egypt,2023-02-05,Month-to-month,Bank transfer,No,Yes,No,No
C10259,Female,48,Suez,Suez,2020-07-14,Two year,Credit card,No,No,No,Yes
C10260,Male,52,Ismailia,Suez,2021-07-28,Two year,Bank transfer,Yes,No,Yes,No
C10261,Male,29,Hurghada,Red Sea,2022-03-26,Two year,Electronic check,No,No,No,Yes
C10262,Male,41,Hurghada,Red Sea,2020-06-09,Month-to-month,Credit card,Yes,No,Yes,No
C10263,Female,18,Suez,Suez,2023-06-11,Two year,Mailed check,No,Yes,No,No
C10264,Female,27,Aswan,Upper Egypt,2021-04-12,Month-to-month,Credit card,No,No,Yes,Yes
C10265,Female,38,Tanta,Delta,2020-05-30,Month-to-month,Electronic check,No,Yes,No,Yes
C10266,Male,24,Giza,Greater Cairo,2020-01-11,Two year,Mailed check,No,Yes,Yes,Yes
C10267,Female,64,Aswan,Upper Egypt,2023-02-14,One year,Mailed check,Yes,No,Yes,Yes
C10268,Female,21,Luxor,Upper Egypt,2020-01-26,Month-to-month,Mailed check,Yes,Yes,Yes,Yes
C10269,Male,35,Alexandria,Delta,2021-07-04,Month-to-month,Mailed check,Yes,No,No,Yes
C10270,Female,43,Giza,Greater Cairo,2022-01-09,Month-to-month,Electronic check,No,Yes,No,Yes
C10271,Female,62,Cairo,Greater Cairo,2022-03-21,Month-to-month,Bank transfer,No,No,No,Yes
C10272,Male,21,Mansoura,Delta,2021-10-18,One year,Bank transfer,No,Yes,No,No
C10273,Female,58,Hurghada,Red Sea,2023-11-24,One year,Credit card,No,No,No,Yes
C10274,Female,42,Assiut,Upper Egypt,2020-08-21,Two year,Electronic check,No,Yes,Yes,No
C10275,Female,28,Hurghada,Red Sea,2021-03-05,Month-to-month,Electronic check,No,No,No,Yes
C10276,Female,48,Tanta,Delta,2021-06-01,One year,Bank transfer,No,Yes,No,No
C10277,Female,44,Suez,Suez,2022-03-31,One year,Credit card,No,No,Yes,No
C10278,Female,33,Hurghada,Red Sea,2023-01-04,One year,Credit card,Yes,Yes,No,Yes
