ticket_id,customer_id,open_date,close_date,category,priority,satisfaction_score,resolved,handling_time_hours
T44,C12764,2024-07-07,2024-07-07,Technical,Low,4,No,16
T45,C13051,2024-11-24,2024-11-24,Account,Critical,5,No,4
T46,C14194,2024-12-24,2024-12-24,Account,Critical,3,Yes,1
T47,C11288,2024-07-13,2024-07-15,Billing,High,4,No,56
T48,C14500,2024-01-21,2024-01-22,Account,High,3,Yes,34
T49,C10493,2024-08-13,2024-08-13,Technical,Low,3,Yes,9
T50,C12937,2024-04-28,2024-04-29,Network,Critical,4,Yes,26
T51,C12225,2024-01-27,2024-01-27,Network,Medium,2,Yes,9
T52,C13082,2024-03-16,2024-03-16,Network,Low,1,No,9
T53,C14923,2024-12-22,2024-12-22,Network,High,5,Yes,16
T54,C13309,2024-07-14,2024-07-14,Billing,Low,5,Yes,1
T55,C13101,2024-05-08,2024-05-08,Network,High,5,Yes,5
T56,C11444,2024-12-20,2024-12-20,Account,Medium,4,Yes,2
T57,C13339,2024-04-26,2024-04-28,Technical,Medium,3,No,65
T58,C10155,2024-02-17,2024-02-18,Billing,Medium,5,Yes,45
T59,C10549,2024-11-27,2024-11-27,Account,Medium,2,Yes,17
T60,C13114,2024-02-11,2024-02-11,Billing,Critical,3,Yes,11
T61,C12229,2024-11-23,2024-11-23,Network,High,4,Yes,6
T62,C14439,2024-02-03,2024-02-05,Billing,Low,2,Yes,52
T63,C12577,2024-06-17,2024-06-18,Account,Medium,4,Yes,25
T64,C10189,2024-04-26,2024-04-26,Network,High,5,No,18
T65,C12140,2024-04-08,2024-04-08,Account,Medium,5,Yes,10
T66,C14227,2024-01-17,2024-01-17,Billing,High,5,No,5
T67,C14746,2024-02-26,2024-02-27,Technical,Low,3,Yes,31
T68,C10429,2024-04-17,2024-04-17,Network,Medium,5,Yes,8
T69,C11468,2024-04-24,2024-04-24,Network,High,4,Yes,7
T70,C13587,2024-10-12,2024-10-12,Network,Low,3,Yes,1
T71,C11710,2024-07-09,2024-07-12,Billing,High,2,Yes,75
T72,C10064,2024-01-13,2024-01-14,Billing,High,3,Yes,41
T73,C13111,2024-11-06,2024-11-06,Technical,Low,3,Yes,18
T74,C11674,2024-06-26,2024-06-26,Billing,Medium,1,Yes,1
T75,C10350,2024-01-02,2024-01-02,Network,Medium,4,Yes,8
T76,C10889,2024-11-03,2024-11-03,Network,High,5,Yes,6
T77,C11164,2024-03-12,2024-03-12,Technical,High,5,Yes,6
T78,C11610,2024-10-28,2024-10-29,Network,Critical,1,Yes,26
T79,C10634,2024-04-20,2024-04-20,Network,Low,5,Yes,5
T80,C12059,2024-03-10,2024-03-11,Account,Medium,4,Yes,39
T81,C14538,2024-10-29,2024-10-29,Account,Low,1,Yes,15
T82,C13486,2024-06-20,2024-06-20,Technical,Low,3,Yes,11
T83,C12940,2024-09-27,2024-09-28,Technical,Low,5,Yes,45
T84,C10064,2024-09-19,2024-09-19,Technical,Low,4,Yes,2
T85,C13611,2024-10-14,2024-10-14,Technical,Medium,2,Yes,3
T86,C12035,2024-07-08,2024-07-09,Technical,High,5,Yes,33
T87,C11587,2024-10-16,2024-10-16,Technical,Critical,4,Yes,13
T88,C14944,2024-01-29,2024-01-29,Network,Low,1,Yes,3
T89,C14141,2024-09-19,2024-09-19,Account,Medium,4,Yes,13
T90,C12934,2024-09-28,2024-09-28,Billing,High,5,No,7
T91,C11415,2024-07-19,2024-07-19,Account,Low,2,No,15
T92,C13132,2024-08-24,2024-08-24,Network,High,4,No,16
T93,C10921,2024-09-29,2024-09-30,Billing,Critical,2,No,47
T94,C12508,2024-11-11,2024-11-11,Billing,Low,5,Yes,1
T95,C11073,2024-09-26,2024-09-26,Billing,Medium,5,Yes,17
T96,C12789,2024-08-24,2024-08-24,Network,Low,2,Yes,9
T97,C14987,2024-09-25,2024-09-25,Network,Medium,4,Yes,2
T98,C12192,2024-12-21,2024-12-22,Technical,Low,4,No,46
T99,C10296,2024-10-15,2024-10-15,Network,High,2,Yes,3
T100,C12707,2024-07-14,2024-07-14,Account,Critical,4,Yes,1
T101,C12547,2024-05-10,2024-05-10,Account,Low,4,No,20
T102,C14258,2024-03-06,2024-03-06,Billing,High,3,Yes,4
T103,C11949,2024-05-01,2024-05-01,Billing,Low,1,Yes,22
T104,C13200,2024-08-05,2024-08-05,Network,High,5,Yes,1
T105,C13016,2024-03-01,2024-03-03,Billing,High,2,Yes,58
T106,C14262,2024-10-21,2024-10-21,Billing,Critical,3,Yes,7
T107,C11389,2024-08-20,2024-08-21,Network,High,5,Yes,26
T108,C12238,2024-04-20,2024-04-20,Technical,Medium,5,Yes,8
T109,C14716,2024-05-23,2024-05-23,Network,Low,3,Yes,2
T110,C11770,2024-09-01,2024-09-01,Network,High,3,Yes,8
T111,C14594,2024-01-04,2024-01-04,Network,Medium,3,No,18
T112,C12011,2024-07-23,2024-07-25,Technical,High,2,Yes,59
T113,C12817,2024-12-25,2024-12-25,Network,Low,5,Yes,20
T114,C13104,2024-10-15,2024-10-16,Network,Low,4,Yes,24
T115,C10211,2024-01-03,2024-01-03,Billing,Low,1,Yes,3
T116,C10687,2024-04-20,2024-04-20,Technical,Medium,5,Yes,4
T117,C10408,2024-09-20,2024-09-20,Billing,High,4,Yes,1
T118,C14343,2024-05-06,2024-05-06,Network,Medium,2,Yes,1
T119,C11376,2024-06-03,2024-06-03,Network,Medium,2,Yes,20
T120,C10158,2024-04-27,2024-04-27,Billing,Critical,4,Yes,18
T121,C11727,2024-04-07,2024-04-07,Network,Critical,3,Yes,8
T122,C12455,2024-11-23,2024-11-28,Network,Low,4,Yes,138
T123,C14265,2024-04-08,2024-04-09,Network,High,4,Yes,31
T124,C13761,2024-07-01,2024-07-01,Technical,Low,4,Yes,7
T125,C10373,2024-12-25,2024-12-26,Billing,Low,4,No,26
T126,C13448,2024-07-17,2024-07-17,Billing,Medium,5,Yes,12
T127,C13896,2024-05-04,2024-05-04,Network,Low,3,Yes,5
T128,C14028,2024-08-18,2024-08-18,Network,Medium,3,Yes,7
T129,C11248,2024-08-27,2024-08-27,Network,Critical,3,No,9
T130,C11815,2024-02-21,2024-02-21,Network,High,3,Yes,18
T131,C11426,2024-04-09,2024-04-10,Network,Medium,2,Yes,43
T132,C13654,2024-05-21,2024-05-22,Billing,Medium,1,Yes,28
T133,C12845,2024-10-19,2024-10-21,Technical,Medium,3,Yes,70
T134,C10311,2024-02-19,2024-02-19,Network,High,2,Yes,3
T135,C12603,2024-12-01,2024-12-01,Billing,Medium,4,Yes,1
T136,C13465,2024-12-27,2024-12-28,Billing,Low,3,Yes,47
T137,C13611,2024-04-13,2024-04-13,Network,Low,5,Yes,3
T138,C11456,2024-09-14,2024-09-14,Network,High,3,Yes,1
T139,C13108,2024-02-18,2024-02-18,Network,High,5,No,11
T140,C10077,2024-01-08,2024-01-08,Network,Medium,2,Yes,2
T141,C14432,2024-06-15,2024-06-16,Technical,High,1,No,36
T142,C12552,2024-09-30,2024-09-30,Billing,High,3,Yes,5
T143,C10489,2024-12-11,2024-12-11,Technical,Medium,3,Yes,13
T144,C13643,2024-05-15,2024-05-15,Network,High,1,Yes,4
T145,C13016,2024-08-31,2024-08-31,Network,Low,4,Yes,6
T146,C12938,2024-06-19,2024-06-19,Network,Low,5,Yes,4
T147,C13317,2024-11-06,2024-11-07,Network,High,2,No,38
T148,C13103,2024-11-29,2024-11-30,Technical,Medium,2,Yes,38
T149,C10063,2024-01-17,2024-01-17,Billing,Low,5,Yes,7
T150,C12723,2024-06-22,2024-06-23,Network,Low,5,Yes,26
T151,C11081,2024-03-29,2024-03-31,Technical,Critical,2,Yes,63
T152,C12514,2024-08-14,2024-08-15,Billing,Medium,4,No,41
T153,C12765,2024-05-04,2024-05-04,Network,Medium,2,Yes,17
T154,C13389,2024-05-30,2024-05-30,Technical,High,2,No,7
T155,C10411,2024-03-07,2024-03-07,Account,High,3,Yes,1
T156,C10088,2024-08-18,2024-08-18,Account,Medium,3,Yes,1
T157,C10292,2024-10-05,2024-10-06,Billing,High,1,No,40
T158,C11620,2024-07-30,2024-07-31,Network,Medium,2,Yes,34
T159,C10574,2024-05-08,2024-05-08,Billing,High,3,Yes,17
T160,C10495,2024-10-05,2024-10-05,Billing,High,3,Yes,2
T161,C14401,2024-05-27,2024-05-27,Network,Low,3,Yes,14
T162,C12827,2024-12-12,2024-12-12,Network,Medium,2,Yes,16
T163,C11548,2024-05-08,2024-05-08,Network,High,2,No,4
T164,C13790,2024-02-13,2024-02-14,Technical,High,2,Yes,32
T165,C10751,2024-06-29,2024-06-29,Billing,High,2,Yes,5
T166,C10004,2024-08-22,2024-08-22,Billing,Critical,4,Yes,11
T167,C14655,2024-01-02,2024-01-03,Network,Low,1,Yes,25
T168,C14008,2024-10-05,2024-10-05,Billing,Critical,1,Yes,16
T169,C13143,2024-03-31,2024-03-31,Billing,Medium,3,Yes,22
T170,C10214,2024-03-02,2024-03-03,Technical,Low,2,Yes,32
T171,C10809,2024-04-07,2024-04-08,Billing,Medium,3,Yes,24
T172,C12175,2024-05-02,2024-05-02,Billing,Low,3,No,1
T173,C11868,2024-11-29,2024-11-29,Technical,Low,5,Yes,8
T174,C14833,2024-06-11,2024-06-11,Billing,High,2,Yes,12
T175,C13836,2024-02-22,2024-02-22,Network,Medium,4,No,8
T176,C13905,2024-05-21,2024-05-21,Technical,Medium,4,Yes,10
T177,C12715,2024-01-23,2024-01-26,Network,Low,4,No,74
T178,C11644,2024-11-19,2024-11-19,Technical,Low,3,Yes,6
T179,C11472,2024-01-30,2024-01-30,Technical,High,2,Yes,1
T180,C12018,2024-12-10,2024-12-10,Billing,Low,3,Yes,21
T181,C12314,2024-01-25,2024-01-26,Technical,Critical,2,No,32
T182,C12127,2024-02-04,2024-02-04,Billing,High,5,Yes,2
T183,C13067,2024-03-24,2024-03-24,Network,Medium,2,Yes,20
T184,C13264,2024-04-15,2024-04-15,Billing,Low,1,Yes,9
T185,C10047,2024-06-14,2024-06-14,Network,High,5,Yes,3
T186,C11047,2024-12-20,2024-12-20,Billing,Critical,5,Yes,3
T187,C12708,2024-08-19,2024-08-20,Network,Medium,3,No,31
T188,C14073,2024-02-15,2024-02-16,Billing,Medium,3,Yes,29
T189,C14173,2024-01-27,2024-01-27,Technical,Medium,5,Yes,8
T190,C11016,2024-10-15,2024-10-17,Network,Low,1,No,49
T191,C12853,2024-03-10,2024-03-10,Technical,Medium,5,Yes,14
T192,C14282,2024-05-24,2024-05-24,Network,Low,3,Yes,7
T193,C14479,2024-12-08,2024-12-09,Technical,Medium,4,Yes,36
T194,C12228,2024-12-25,2024-12-25,Technical,Medium,3,Yes,1
T195,C12950,2024-01-01,2024-01-01,Network,High,3,Yes,18
T196,C11508,2024-07-03,2024-07-03,Account,Medium,4,Yes,9
T197,C12496,2024-07-11,2024-07-11,Network,Critical,5,Yes,1
T198,C12169,2024-02-29,2024-03-01,Account,Medium,4,Yes,47
T199,C11658,2024-02-26,2024-02-26,Account,High,4,Yes,1
T200,C10606,2024-04-18,2024-04-18,Technical,High,2,Yes,5
T201,C10294,2024-08-17,2024-08-17,Technical,High,4,Yes,3
T202,C10522,2024-06-11,2024-06-11,Technical,Low,1,Yes,13
T203,C14779,2024-06-01,2024-06-02,Technical,Low,2,Yes,33
T204,C14137,2024-12-01,2024-12-01,Network,Medium,2,Yes,12
T205,C10338,2024-05-19,2024-05-19,Network,High,4,Yes,3
T206,C10301,2024-06-01,2024-06-01,Account,Medium,4,Yes,10
T207,C12035,2024-10-28,2024-10-29,Billing,Medium,3,No,34
T208,C12714,2024-11-20,2024-11-20,Billing,Medium,3,No,21
T209,C13974,2024-04-06,2024-04-06,Network,Low,2,Yes,23
T210,C10404,2024-09-03,2024-09-03,Network,Low,3,Yes,1
T211,C11855,2024-10-14,2024-10-15,Network,Low,4,Yes,27
T212,C12518,2024-10-04,2024-10-05,Technical,Medium,2,No,29
T213,C13598,2024-03-10,2024-03-10,Account,Low,3,Yes,17
T214,C10536,2024-06-01,2024-06-01,Network,High,4,Yes,10
T215,C10144,2024-12-09,2024-12-10,Technical,High,3,Yes,27
T216,C10180,2024-09-11,2024-09-11,Technical,Medium,2,Yes,10
T217,C12061,2024-05-22,2024-05-22,Network,Low,1,Yes,14
T218,C13071,2024-07-03,2024-07-03,Technical,High,3,Yes,22
T219,C11316,2024-10-09,2024-10-09,Network,Low,4,Yes,16
T220,C11150,2024-07-22,2024-07-22,Network,Critical,5,Yes,5
T221,C10921,2024-10-30,2024-10-30,Technical,Low,3,Yes,1
T222,C12260,2024-05-16,2024-05-16,Billing,Medium,2,No,2
T223,C12336,2024-03-19,2024-03-19,Technical,Low,5,Yes,5
T224,C13571,2024-06-16,2024-06-16,Technical,Low,4,Yes,11
T225,C10683,2024-02-23,2024-02-23,Billing,Low,5,No,16
T226,C10630,2024-07-07,2024-07-09,Account,Low,2,Yes,50
T227,C12580,2024-09-01,2024-09-01,Network,Low,5,No,2
T228,C11382,2024-11-12,2024-11-13,Network,Medium,3,Yes,33
T229,C13036,2024-02-21,2024-02-21,Technical,Low,5,Yes,4
T230,C10061,2024-08-15,2024-08-15,Technical,Low,2,Yes,14
T231,C12638,2024-07-27,2024-07-27,Network,High,1,Yes,15
T232,C11810,2024-08-08,2024-08-08,Technical,Medium,2,Yes,8
T233,C11052,2024-07-15,2024-07-16,Account,Medium,5,Yes,24
T234,C14172,2024-02-14,2024-02-14,Technical,Critical,5,No,1
T235,C11404,2024-11-01,2024-11-01,Billing,High,1,Yes,3
T236,C11385,2024-06-05,2024-06-05,Network,High,2,Yes,2
T237,C11779,2024-03-11,2024-03-11,Network,Medium,2,Yes,2
T238,C10837,2024-08-25,2024-08-26,Network,Critical,4,Yes,34
T239,C12264,2024-12-03,2024-12-03,Billing,Medium,1,No,8
T240,C11299,2024-12-13,2024-12-13,Billing,High,3,Yes,4
T241,C11819,2024-10-25,2024-10-26,Network,Critical,2,Yes,35
T242,C11914,2024-10-18,2024-10-19,Network,Low,3,Yes,38
T243,C13595,2024-11-23,2024-11-23,Network,Low,5,No,2
T244,C14904,2024-11-26,2024-11-26,Billing,Medium,1,Yes,10
T245,C14944,2024-10-01,2024-10-01,Billing,Medium,4,Yes,1
T246,C13412,2024-04-07,2024-04-07,Technical,Critical,2,No,18
T247,C13041,2024-09-17,2024-09-17,Network,Medium,1,Yes,4
T248,C12481,2024-12-22,2024-12-22,Network,Low,4,Yes,13
T249,C10844,2024-04-14,2024-04-14,Network,Critical,3,Yes,13
T250,C11902,2024-10-15,2024-10-15,Network,Low,4,Yes,6
T251,C10944,2024-05-31,2024-06-02,Technical,Low,4,Yes,51
T252,C10623,2024-01-28,2024-01-28,Technical,High,4,Yes,21
T253,C12183,2024-02-17,2024-02-18,Technical,Low,1,Yes,28
T254,C11956,2024-03-08,2024-03-08,Technical,Medium,5,Yes,1
T255,C12430,2024-02-09,2024-02-09,Network,Medium,1,Yes,1
T256,C11416,2024-12-18,2024-12-18,Billing,High,4,Yes,1
T257,C13959,2024-05-08,2024-05-08,Technical,Low,5,No,23
T258,C12434,2024-03-08,2024-03-08,Network,Medium,3,Yes,13
T259,C10931,2024-05-17,2024-05-18,Account,High,1,Yes,39
T260,C11048,2024-11-21,2024-11-21,Network,High,5,Yes,10
T261,C10620,2024-02-26,2024-02-27,Network,Critical,5,Yes,28
T262,C13281,2024-11-23,2024-11-24,Technical,Low,5,Yes,29
T263,C14738,2024-04-18,2024-04-18,Account,High,3,Yes,6
T264,C13960,2024-12-04,2024-12-04,Network,Medium,3,Yes,14
T265,C11670,2024-09-26,2024-09-27,Account,Medium,5,Yes,27
T266,C14058,2024-01-06,2024-01-06,Network,Critical,2,Yes,10
T267,C11001,2024-07-15,2024-07-17,Network,Low,5,Yes,60
T268,C14678,2024-05-17,2024-05-17,Billing,Low,2,Yes,9
T269,C14204,2024-04-26,2024-04-26,Billing,High,4,Yes,7
T270,C13454,2024-09-19,2024-09-19,Billing,High,3,Yes,1
T271,C14834,2024-10-25,2024-10-25,Account,Medium,2,Yes,5
T272,C11584,2024-09-24,2024-09-24,Network,Medium,1,Yes,7
T273,C10170,2024-12-01,2024-12-01,Technical,Low,1,Yes,6
T274,C12436,2024-10-29,2024-10-29,Billing,Low,2,Yes,22
T275,C13157,2024-12-19,2024-12-20,Network,High,3,Yes,29
T276,C10282,2024-04-06,2024-04-06,Technical,High,4,Yes,17
T277,C14501,2024-02-11,2024-02-13,Network,Medium,3,Yes,58
T278,C11042,2024-07-01,2024-07-01,Network,Critical,5,Yes,3
T279,C14345,2024-03-27,2024-03-27,Billing,Low,2,Yes,4
T280,C11389,2024-08-16,2024-08-17,Network,High,5,Yes,32
T281,C11310,2024-09-17,2024-09-17,Technical,Low,3,Yes,1
T282,C12283,2024-10-03,2024-10-03,Network,High,3,No,8
T283,C13108,2024-09-11,2024-09-11,Billing,High,4,No,6
T284,C14785,2024-11-25,2024-11-25,Technical,Low,1,No,14
T285,C13068,2024-07-15,2024-07-15,Billing,Medium,3,Yes,1
T286,C12435,2024-11-03,2024-11-04,Network,Low,1,Yes,33
T287,C10536,2024-06-18,2024-06-20,Technical,Critical,5,Yes,64
T288,C12722,2024-04-16,2024-04-18,Network,Critical,3,Yes,59
T289,C13268,2024-06-17,2024-06-17,Billing,Medium,4,Yes,3
T290,C14936,2024-08-30,2024-08-30,Billing,Critical,4,Yes,23
T291,C11145,2024-12-02,2024-12-03,Network,Low,5,Yes,45
T292,C11035,2024-07-12,2024-07-12,Account,High,3,Yes,8
T293,C10561,2024-02-08,2024-02-08,Billing,High,4,Yes,7
T294,C13085,2024-01-16,2024-01-17,Network,Medium,3,Yes,38
T295,C10801,2024-01-10,2024-01-10,Billing,High,3,Yes,19
T296,C12222,2024-09-24,2024-09-24,Technical,Low,1,Yes,10
T297,C14747,2024-09-24,2024-09-24,Network,Medium,2,Yes,1
T298,C13724,2024-11-25,2024-11-25,Billing,Low,3,Yes,6
T299,C13524,2024-12-02,2024-12-02,Technical,Low,4,Yes,5
T300,C10328,2024-08-13,2024-08-13,Technical,High,2,Yes,13
T301,C12777,2024-08-10,2024-08-11,Technical,Critical,4,Yes,33
T302,C12091,2024-10-23,2024-10-23,Network,Medium,5,Yes,8
T303,C11005,2024-12-19,2024-12-19,Network,High,3,No,1
T304,C12640,2024-11-05,2024-11-05,Technical,Medium,4,Yes,13
T305,C10735,2024-01-09,2024-01-09,Billing,Medium,4,Yes,18
T306,C11291,2024-05-20,2024-05-20,Account,Low,5,Yes,4
T307,C13305,2024-04-24,2024-04-24,Network,Medium,4,Yes,16
T308,C12933,2024-04-21,2024-04-21,Technical,Medium,5,Yes,17
T309,C13519,2024-01-31,2024-01-31,Billing,Low,3,Yes,6
T310,C10960,2024-08-05,2024-08-06,Network,Critical,1,Yes,29
T311,C10536,2024-04-21,2024-04-21,Network,Medium,4,Yes,23
T312,C14994,2024-03-26,2024-03-26,Network,Medium,4,Yes,1
T313,C12726,2024-01-05,2024-01-05,Network,High,3,No,14
T314,C13406,2024-06-26,2024-06-27,Billing,Critical,3,Yes,30
T315,C12119,2024-05-25,2024-05-25,Network,High,1,Yes,10
T316,C11604,2024-05-02,2024-05-02,Account,Critical,4,Yes,11
T317,C13365,2024-08-18,2024-08-18,Network,Medium,2,Yes,1
T318,C13191,2024-01-08,2024-01-10,Technical,Low,3,Yes,56
T319,C10963,2024-11-29,2024-11-29,Billing,Medium,5,Yes,1
T320,C10806,2024-12-19,2024-12-19,Billing,Low,4,Yes,1
T321,C11517,2024-02-13,2024-02-13,Billing,High,3,Yes,1
T322,C13617,2024-07-03,2024-07-03,Network,Low,5,No,1
T323,C10050,2024-02-29,2024-02-29,Network,Low,5,No,6
T324,C12587,2024-05-06,2024-05-06,Technical,Medium,4,Yes,4
T325,C13515,2024-10-12,2024-10-12,Network,Medium,1,Yes,21
T326,C10302,2024-12-02,2024-12-02,Account,Medium,1,Yes,12
T327,C14586,2024-03-03,2024-03-04,Billing,Low,2,No,31
T328,C13573,2024-07-23,2024-07-23,Network,Low,5,Yes,2
T329,C11004,2024-02-02,2024-02-02,Billing,Critical,4,Yes,3
T330,C10360,2024-06-01,2024-06-02,Network,Medium,3,Yes,39
T331,C14674,2024-07-07,2024-07-07,Billing,Low,3,Yes,16
T332,C11584,2024-10-22,2024-10-23,Technical,Low,3,Yes,26
T333,C14168,2024-09-02,2024-09-02,Billing,Low,5,No,2
T334,C12195,2024-08-30,2024-08-30,Billing,Low,4,Yes,23
T335,C10108,2024-12-04,2024-12-04,Technical,Medium,1,Yes,4
T336,C10949,2024-07-13,2024-07-13,Network,Low,3,No,1
T337,C13852,2024-09-11,2024-09-12,Billing,Medium,3,Yes,37
T338,C13966,2024-04-04,2024-04-06,Technical,Low,3,No,64
T339,C13356,2024-07-01,2024-07-01,Technical,Low,1,Yes,16
T340,C11658,2024-04-06,2024-04-07,Network,Medium,1,Yes,37
T341,C10849,2024-06-23,2024-06-24,Billing,Critical,4,Yes,43
T342,C13941,2024-09-11,2024-09-11,Network,Medium,3,No,4
T343,C14624,2024-09-11,2024-09-11,Billing,Medium,5,Yes,13
T344,C13426,2024-07-09,2024-07-10,Technical,High,4,Yes,44
T345,C13712,2024-07-01,2024-07-01,Billing,Low,1,Yes,9
T346,C14558,2024-05-01,2024-05-01,Network,Low,2,No,1
T347,C10224,2024-08-22,2024-08-22,Billing,Critical,3,Yes,13
T348,C11882,2024-09-21,2024-09-22,Technical,Medium,4,Yes,40
T349,C14406,2024-10-13,2024-10-16,Network,Medium,5,Yes,74
T350,C12121,2024-10-03,2024-10-03,Technical,High,4,Yes,1
T351,C12833,2024-03-23,2024-03-23,Billing,High,5,Yes,9
T352,C13412,2024-03-30,2024-03-31,Network,Medium,3,No,34
T353,C13210,2024-03-23,2024-03-23,Billing,Low,3,No,11
T354,C11480,2024-12-29,2024-12-29,Account,Medium,2,Yes,17
T355,C12605,2024-03-18,2024-03-18,Account,Low,5,No,8
T356,C13171,2024-02-23,2024-02-23,Account,Medium,4,Yes,7
T357,C13243,2024-12-23,2024-12-23,Network,Critical,5,Yes,4
T358,C10722,2024-09-16,2024-09-16,Billing,Medium,3,Yes,12
T359,C13773,2024-12-16,2024-12-16,Network,Low,5,Yes,12
T360,C13036,2024-08-26,2024-08-27,Network,Low,4,Yes,42
T361,C14115,2024-08-25,2024-08-26,Billing,Low,3,Yes,26
T362,C11980,2024-10-07,2024-10-07,Billing,High,2,Yes,6
T363,C14063,2024-11-06,2024-11-06,Network,Low,3,Yes,20
T364,C11634,2024-12-07,2024-12-08,Technical,High,1,Yes,35
T365,C13721,2024-09-27,2024-09-27,Network,High,1,Yes,1
T366,C13735,2024-02-13,2024-02-14,Network,Low,2,Yes,36
T367,C13642,2024-07-29,2024-07-29,Network,Low,3,Yes,8
T368,C11660,2024-09-13,2024-09-14,Technical,High,1,Yes,28
T369,C12712,2024-04-27,2024-04-27,Billing,Low,3,Yes,20
T370,C12188,2024-03-13,2024-03-13,Technical,Low,2,Yes,8
T371,C13405,2024-06-27,2024-06-27,Billing,Medium,1,Yes,6
T372,C12054,2024-01-29,2024-01-29,Technical,Medium,1,No,12
T373,C11395,2024-07-25,2024-07-25,Technical,High,3,No,8
T374,C12488,2024-06-12,2024-06-12,Technical,Low,4,Yes,18
T375,C13572,2024-01-31,2024-02-01,Network,Medium,1,No,25
T376,C12964,2024-02-15,2024-02-15,Network,Medium,5,Yes,4
T377,C14879,2024-12-14,2024-12-14,Network,High,5,Yes,12
T378,C13895,2024-02-16,2024-02-18,Network,Low,3,Yes,50
T379,C13984,2024-05-29,2024-05-29,Account,Critical,4,Yes,3
T380,C10473,2024-11-20,2024-11-20,Billing,Critical,2,Yes,11
T381,C12055,2024-11-05,2024-11-05,Account,Low,2,Yes,18
T382,C13284,2024-12-02,2024-12-03,Network,Medium,4,Yes,35
T383,C13084,2024-02-28,2024-02-29,Network,Low,1,Yes,28
T384,C14600,2024-12-12,2024-12-12,Billing,Low,3,Yes,15
T385,C10508,2024-09-28,2024-09-29,Network,Medium,4,Yes,34
T386,C12888,2024-12-05,2024-12-05,Network,Medium,5,No,14
T387,C11513,2024-04-15,2024-04-15,Network,Medium,1,Yes,16
T388,C14644,2024-11-16,2024-11-16,Network,Low,5,No,2
T389,C11514,2024-08-12,2024-08-12,Account,Medium,3,Yes,1
T390,C13836,2024-09-28,2024-09-28,Network,High,5,Yes,2
T391,C13377,2024-10-15,2024-10-15,Network,Medium,1,Yes,7
T392,C12845,2024-07-25,2024-07-26,Network,Medium,2,Yes,29
T393,C12765,2024-02-16,2024-02-16,Billing,Low,2,Yes,10
