bill_id,customer_id,month,amount_due_egp,amount_paid_egp,late_days,payment_failures
B208,C10018,2024-04,785.13,785.13,1,0
B209,C10018,2024-05,781.4,781.4,1,0
B210,C10018,2024-06,775.81,775.81,0,0
B211,C10018,2024-07,768.9,768.9,4,0
B212,C10018,2024-08,758.75,758.75,3,0
B213,C10018,2024-09,768.56,768.56,0,0
B214,C10018,2024-10,778.68,778.68,0,0
B215,C10018,2024-11,788.08,788.08,0,0
B216,C10018,2024-12,778.85,778.85,2,0
B217,C10019,2024-01,143.41,143.41,0,0
B218,C10019,2024-02,141.99,141.99,1,0
B219,C10019,2024-03,135.8,135.8,1,0
B220,C10019,2024-04,150.23,0.0,0,0
B221,C10019,2024-05,143.36,143.36,2,0
B222,C10019,2024-06,154.0,154.0,1,0
B223,C10019,2024-07,170.08,170.08,0,0
B224,C10019,2024-08,140.2,112.16,12,1
B225,C10019,2024-09,153.47,122.78,9,1
B226,C10019,2024-10,163.08,163.08,0,0
B227,C10019,2024-11,140.4,140.4,1,0
B228,C10019,2024-12,165.81,165.81,3,0
B229,C10020,2024-01,357.54,357.54,1,0
B230,C10020,2024-02,315.43,315.43,2,0
B231,C10020,2024-03,346.14,346.14,3,0
B232,C10020,2024-04,322.21,161.1,6,1
B233,C10020,2024-05,333.86,333.86,2,0
B234,C10020,2024-06,331.09,331.09,0,0
B235,C10020,2024-07,332.01,332.01,0,0
B236,C10020,2024-08,341.5,341.5,3,0
B237,C10020,2024-09,339.39,0.0,4,1
B238,C10020,2024-10,325.98,325.98,0,0
B239,C10020,2024-11,338.55,0.0,10,1
B240,C10020,2024-12,325.42,325.42,2,0
B241,C10021,2024-01,553.82,553.82,1,0
B242,C10021,2024-02,559.34,559.34,3,0
B243,C10021,2024-03,563.83,563.83,6,0
B244,C10021,2024-04,547.46,547.46,0,0
B245,C10021,2024-05,570.22,570.22,1,0
B246,C10021,2024-06,566.57,566.57,0,0
B247,C10021,2024-07,547.02,547.02,3,0
B248,C10021,2024-08,564.23,564.23,5,0
B249,C10021,2024-09,567.42,567.42,2,0
B250,C10021,2024-10,590.27,590.27,0,0
B251,C10021,2024-11,553.11,553.11,0,0
B252,C10021,2024-12,567.1,567.1,0,0
B253,C10022,2024-01,761.51,761.51,1,0
B254,C10022,2024-02,762.15,762.15,4,0
B255,C10022,2024-03,752.09,752.09,0,0
B256,C10022,2024-04,785.46,785.46,0,0
B257,C10022,2024-05,770.02,770.02,0,0
B258,C10022,2024-06,762.75,762.75,0,0
B259,C10022,2024-07,797.39,797.39,0,0
B260,C10022,2024-08,769.37,769.37,0,0
B261,C10022,2024-09,767.71,767.71,5,0
B262,C10022,2024-10,770.46,0.0,4,1
B263,C10022,2024-11,780.75,624.6,11,1
B264,C10022,2024-12,769.28,0.0,15,1
B265,C10023,2024-01,573.26,286.63,5,1
B266,C10023,2024-02,544.44,0.0,4,1
B267,C10023,2024-03,581.61,581.61,0,0
B268,C10023,2024-04,575.09,575.09,2,0
B269,C10023,2024-05,566.72,566.72,0,0
B270,C10023,2024-06,568.08,568.08,0,0
B271,C10023,2024-07,574.82,574.82,5,0
B272,C10023,2024-08,570.89,570.89,3,0
B273,C10023,2024-09,578.34,462.67,12,1
B274,C10023,2024-10,587.15,587.15,3,0
B275,C10023,2024-11,583.4,583.4,1,0
B276,C10023,2024-12,556.8,445.44,11,1
B277,C10024,2024-01,362.89,362.89,3,0
B278,C10024,2024-02,363.32,363.32,0,0
B279,C10024,2024-03,357.52,0.0,5,1
B280,C10024,2024-04,355.51,355.51,0,0
B281,C10024,2024-05,280.27,280.27,0,0
B282,C10024,2024-06,352.11,352.11,0,0
B283,C10024,2024-07,348.86,279.09,15,1
B284,C10024,2024-08,337.81,337.81,0,0
B285,C10024,2024-09,348.51,278.81,4,0
B286,C10024,2024-10,347.33,347.33,2,0
B287,C10024,2024-11,355.29,355.29,0,0
B288,C10024,2024-12,358.98,358.98,4,0
B289,C10025,2024-01,377.8,377.8,3,0
B290,C10025,2024-02,363.78,363.78,1,0
B291,C10025,2024-03,385.57,385.57,1,0
B292,C10025,2024-04,376.72,376.72,1,0
B293,C10025,2024-05,369.56,369.56,3,0
B294,C10025,2024-06,371.98,371.98,1,0
B295,C10025,2024-07,377.7,377.7,0,0
B296,C10025,2024-08,371.23,0.0,3,0
B297,C10025,2024-09,374.49,374.49,0,0
B298,C10025,2024-10,380.16,380.16,4,0
B299,C10025,2024-11,366.84,366.84,0,0
B300,C10025,2024-12,383.56,383.56,2,0
B301,C10026,2024-01,246.69,246.69,7,0
B302,C10026,2024-02,251.03,251.03,2,0
B303,C10026,2024-03,230.38,184.3,0,0
B304,C10026,2024-04,219.42,219.42,5,0
B305,C10026,2024-05,239.64,191.71,0,0
B306,C10026,2024-06,262.64,0.0,11,1
B307,C10026,2024-07,236.66,236.66,0,0
B308,C10026,2024-08,236.55,236.55,3,0
B309,C10026,2024-09,233.76,233.76,2,0
B310,C10026,2024-10,242.98,242.98,0,0
B311,C10026,2024-11,259.78,259.78,0,0
B312,C10026,2024-12,245.37,245.37,0,0
B313,C10027,2024-01,257.62,257.62,2,0
B314,C10027,2024-02,287.76,287.76,0,0
B315,C10027,2024-03,265.87,265.87,0,0
B316,C10027,2024-04,287.05,143.53,12,1
B317,C10027,2024-05,262.18,262.18,2,0
B318,C10027,2024-06,268.62,268.62,3,0
B319,C10027,2024-07,221.78,221.78,0,0
B320,C10027,2024-08,289.44,289.44,6,0
B321,C10027,2024-09,270.87,270.87,0,0
B322,C10027,2024-10,264.64,264.64,4,0
B323,C10027,2024-11,267.08,267.08,1,0
B324,C10027,2024-12,265.83,265.83,0,0
B325,C10028,2024-01,316.89,253.51,3,1
B326,C10028,2024-02,351.2,351.2,0,0
B327,C10028,2024-03,332.79,332.79,1,0
B328,C10028,2024-04,332.12,332.12,1,0
B329,C10028,2024-05,343.31,274.65,0,0
B330,C10028,2024-06,347.68,347.68,6,0
B331,C10028,2024-07,312.38,312.38,2,0
B332,C10028,2024-08,343.53,343.53,6,0
B333,C10028,2024-09,352.34,352.34,2,0
B334,C10028,2024-10,342.36,342.36,2,0
B335,C10028,2024-11,344.5,344.5,0,0
B336,C10028,2024-12,341.69,341.69,0,0
B337,C10029,2024-01,675.07,675.07,12,0
B338,C10029,2024-02,699.15,699.15,6,0
B339,C10029,2024-03,672.22,672.22,1,0
B340,C10029,2024-04,639.0,639.0,0,0
B341,C10029,2024-05,688.09,344.05,9,1
B342,C10029,2024-06,652.42,652.42,0,0
B343,C10029,2024-07,706.85,706.85,4,0
B344,C10029,2024-08,688.3,688.3,2,0
B345,C10029,2024-09,691.44,691.44,4,0
B346,C10029,2024-10,639.76,639.76,3,0
B347,C10029,2024-11,688.05,688.05,5,0
B348,C10029,2024-12,692.24,692.24,0,0
B349,C10030,2024-01,331.16,331.16,1,0
B350,C10030,2024-02,351.69,281.35,4,0
B351,C10030,2024-03,359.36,359.36,5,0
B352,C10030,2024-04,342.43,342.43,3,0
B353,C10030,2024-05,371.83,371.83,1,0
B354,C10030,2024-06,335.54,335.54,4,0
B355,C10030,2024-07,352.41,352.41,5,0
B356,C10030,2024-08,343.86,343.86,0,0
B357,C10030,2024-09,342.04,0.0,14,1
B358,C10030,2024-10,339.02,339.02,2,0
B359,C10030,2024-11,360.07,360.07,2,0
B360,C10030,2024-12,335.31,335.31,1,0
B361,C10031,2024-01,532.91,532.91,4,0
B362,C10031,2024-02,524.31,524.31,2,0
B363,C10031,2024-03,515.7,515.7,1,0
B364,C10031,2024-04,527.56,527.56,0,0
B365,C10031,2024-05,533.41,533.41,4,0
B366,C10031,2024-06,525.86,525.86,5,0
B367,C10031,2024-07,522.1,522.1,2,0
B368,C10031,2024-08,542.59,542.59,3,0
B369,C10031,2024-09,530.02,424.02,6,1
B370,C10031,2024-10,516.24,258.12,18,1
B371,C10031,2024-11,516.14,516.14,0,0
B372,C10031,2024-12,522.93,522.93,1,0
B373,C10032,2024-01,396.99,396.99,6,0
B374,C10032,2024-02,392.38,392.38,3,0
B375,C10032,2024-03,427.28,427.28,0,0
B376,C10032,2024-04,411.3,411.3,0,0
B377,C10032,2024-05,397.64,397.64,0,0
B378,C10032,2024-06,402.34,402.34,4,0
B379,C10032,2024-07,415.56,415.56,1,0
B380,C10032,2024-08,429.75,429.75,4,0
B381,C10032,2024-09,404.41,404.41,2,0
B382,C10032,2024-10,383.29,383.29,0,0
B383,C10032,2024-11,411.77,411.77,2,0
B384,C10032,2024-12,414.47,414.47,1,0
B385,C10033,2024-01,503.0,503.0,2,0
B386,C10033,2024-02,497.29,497.29,2,0
B387,C10033,2024-03,468.63,468.63,1,0
B388,C10033,2024-04,510.58,0.0,9,1
B389,C10033,2024-05,505.4,252.7,12,1
B390,C10033,2024-06,519.8,519.8,0,0
B391,C10033,2024-07,514.87,514.87,0,0
B392,C10033,2024-08,500.72,500.72,4,0
B393,C10033,2024-09,500.04,500.04,0,0
B394,C10033,2024-10,526.15,526.15,2,0
B395,C10033,2024-11,518.98,259.49,8,1
B396,C10033,2024-12,503.83,503.83,0,0
B397,C10034,2024-01,540.17,540.17,0,0
B398,C10034,2024-02,529.57,529.57,3,0
B399,C10034,2024-03,547.35,547.35,0,0
B400,C10034,2024-04,537.97,537.97,5,0
B401,C10034,2024-05,536.67,0.0,5,1
B402,C10034,2024-06,530.83,530.83,1,0
B403,C10034,2024-07,550.69,550.69,1,0
B404,C10034,2024-08,558.15,558.15,1,0
B405,C10034,2024-09,539.07,539.07,1,0
B406,C10034,2024-10,545.54,545.54,0,0
B407,C10034,2024-11,501.56,501.56,1,0
B408,C10034,2024-12,540.08,540.08,0,0
B409,C10035,2024-01,442.28,442.28,0,0
B410,C10035,2024-02,454.35,454.35,4,0
B411,C10035,2024-03,411.63,411.63,1,0
B412,C10035,2024-04,421.56,421.56,1,0
B413,C10035,2024-05,441.05,220.53,0,0
B414,C10035,2024-06,449.61,449.61,6,0
B415,C10035,2024-07,418.76,418.76,9,0
B416,C10035,2024-08,441.64,441.64,0,0
B417,C10035,2024-09,436.19,0.0,0,0
B418,C10035,2024-10,442.93,442.93,1,0
B419,C10035,2024-11,425.12,425.12,0,0
B420,C10035,2024-12,438.87,438.87,0,0
B421,C10036,2024-01,366.49,366.49,0,0
B422,C10036,2024-02,368.13,368.13,3,0
B423,C10036,2024-03,330.62,330.62,4,0
B424,C10036,2024-04,366.34,366.34,1,0
B425,C10036,2024-05,370.18,296.14,7,1
B426,C10036,2024-06,364.22,364.22,0,0
B427,C10036,2024-07,383.79,383.79,6,0
B428,C10036,2024-08,386.06,386.06,1,0
B429,C10036,2024-09,370.25,370.25,2,0
B430,C10036,2024-10,388.52,388.52,3,0
B431,C10036,2024-11,362.94,362.94,5,0
B432,C10036,2024-12,384.29,384.29,6,0
B433,C10037,2024-01,358.33,358.33,3,0
B434,C10037,2024-02,353.04,353.04,1,0
B435,C10037,2024-03,342.22,342.22,1,0
B436,C10037,2024-04,350.37,350.37,0,0
B437,C10037,2024-05,330.36,330.36,4,0
B438,C10037,2024-06,345.33,345.33,4,0
B439,C10037,2024-07,345.86,345.86,2,0
B440,C10037,2024-08,333.72,333.72,1,0
B441,C10037,2024-09,357.88,357.88,0,0
B442,C10037,2024-10,335.66,335.66,0,0
B443,C10037,2024-11,336.63,336.63,1,0
B444,C10037,2024-12,341.52,341.52,0,0
B445,C10038,2024-01,442.96,442.96,0,0
B446,C10038,2024-02,423.96,423.96,1,0
B447,C10038,2024-03,423.39,423.39,4,0
B448,C10038,2024-04,424.33,424.33,2,0
B449,C10038,2024-05,434.36,434.36,3,0
B450,C10038,2024-06,440.17,440.17,0,0
B451,C10038,2024-07,429.89,429.89,3,0
B452,C10038,2024-08,432.51,432.51,1,0
B453,C10038,2024-09,438.37,438.37,0,0
B454,C10038,2024-10,421.22,421.22,2,0
B455,C10038,2024-11,439.13,439.13,3,0
B456,C10038,2024-12,455.5,455.5,1,0
B457,C10039,2024-01,241.57,241.57,0,0
B458,C10039,2024-02,286.0,286.0,0,0
B459,C10039,2024-03,210.35,210.35,3,0
B460,C10039,2024-04,259.61,259.61,0,0
B461,C10039,2024-05,268.31,268.31,1,0
B462,C10039,2024-06,265.39,265.39,3,0
B463,C10039,2024-07,268.69,268.69,0,0
B464,C10039,2024-08,264.36,264.36,3,0
B465,C10039,2024-09,257.03,257.03,0,0
B466,C10039,2024-10,294.83,235.86,10,1
B467,C10039,2024-11,260.5,260.5,0,0
B468,C10039,2024-12,255.25,255.25,0,0
B469,C10040,2024-01,565.75,565.75,3,0
B470,C10040,2024-02,549.31,549.31,2,0
B471,C10040,2024-03,578.17,578.17,1,0
B472,C10040,2024-04,575.27,287.63,0,0
B473,C10040,2024-05,563.05,0.0,7,1
B474,C10040,2024-06,575.14,575.14,5,0
B475,C10040,2024-07,559.39,559.39,0,0
B476,C10040,2024-08,551.29,551.29,0,0
B477,C10040,2024-09,553.09,442.47,3,0
B478,C10040,2024-10,561.82,561.82,1,0
B479,C10040,2024-11,570.0,570.0,22,0
B480,C10040,2024-12,576.73,576.73,0,0
B481,C10041,2024-01,399.47,399.47,1,0
B482,C10041,2024-02,392.92,392.92,2,0
B483,C10041,2024-03,398.64,398.64,3,0
B484,C10041,2024-04,386.02,386.02,7,0
B485,C10041,2024-05,401.92,401.92,3,0
B486,C10041,2024-06,380.95,380.95,4,0
B487,C10041,2024-07,401.39,401.39,0,0
B488,C10041,2024-08,389.27,389.27,1,0
B489,C10041,2024-09,392.9,392.9,4,0
B490,C10041,2024-10,402.24,402.24,0,0
B491,C10041,2024-11,403.93,403.93,1,0
B492,C10041,2024-12,387.71,387.71,1,0
B493,C10042,2024-01,893.26,0.0,7,1
B494,C10042,2024-02,866.68,866.68,1,0
B495,C10042,2024-03,881.89,881.89,3,0
B496,C10042,2024-04,887.49,887.49,3,0
B497,C10042,2024-05,886.84,886.84,1,0
B498,C10042,2024-06,875.5,875.5,1,0
B499,C10042,2024-07,873.19,873.19,4,0
B500,C10042,2024-08,839.57,839.57,0,0
B501,C10042,2024-09,881.75,881.75,5,0
B502,C10042,2024-10,887.18,887.18,4,0
B503,C10042,2024-11,879.76,879.76,0,0
B504,C10042,2024-12,889.09,889.09,1,0
B505,C10043,2024-01,570.42,570.42,5,0
B506,C10043,2024-02,603.63,603.63,8,0
B507,C10043,2024-03,583.25,583.25,0,0
B508,C10043,2024-04,525.21,525.21,2,0
B509,C10043,2024-05,567.86,567.86,7,0
B510,C10043,2024-06,575.13,575.13,0,0
B511,C10043,2024-07,589.79,589.79,0,0
B512,C10043,2024-08,600.01,600.01,5,0
B513,C10043,2024-09,578.7,578.7,1,0
B514,C10043,2024-10,560.31,560.31,0,0
B515,C10043,2024-11,586.79,586.79,3,0
B516,C10043,2024-12,587.2,587.2,3,0
B517,C10044,2024-01,191.81,191.81,4,0
B518,C10044,2024-02,192.08,153.66,7,1
B519,C10044,2024-03,190.03,190.03,0,0
B520,C10044,2024-04,194.23,194.23,0,0
B521,C10044,2024-05,210.8,210.8,4,0
B522,C10044,2024-06,180.85,180.85,1,0
B523,C10044,2024-07,172.1,172.1,0,0
B524,C10044,2024-08,202.31,202.31,0,0
B525,C10044,2024-09,182.05,182.05,0,0
B526,C10044,2024-10,176.71,176.71,4,0
B527,C10044,2024-11,201.29,201.29,0,0
B528,C10044,2024-12,125.32,125.32,1,0
B529,C10045,2024-01,374.0,374.0,0,0
B530,C10045,2024-02,381.7,381.7,0,0
B531,C10045,2024-03,382.59,382.59,1,0
B532,C10045,2024-04,357.54,357.54,1,0
B533,C10045,2024-05,418.87,418.87,1,0
B534,C10045,2024-06,390.79,390.79,6,0
B535,C10045,2024-07,346.59,346.59,4,0
B536,C10045,2024-08,409.53,0.0,8,1
B537,C10045,2024-09,389.0,389.0,1,0
B538,C10045,2024-10,378.35,378.35,0,0
B539,C10045,2024-11,387.2,387.2,1,0
B540,C10045,2024-12,381.15,381.15,0,0
B541,C10046,2024-01,405.91,405.91,1,0
B542,C10046,2024-02,399.35,399.35,0,0
B543,C10046,2024-03,383.52,383.52,0,0
B544,C10046,2024-04,433.03,433.03,1,0
B545,C10046,2024-05,412.74,412.74,0,0
B546,C10046,2024-06,403.83,403.83,0,0
B547,C10046,2024-07,405.24,405.24,11,0
B548,C10046,2024-08,409.14,0.0,0,0
B549,C10046,2024-09,422.87,422.87,2,0
B550,C10046,2024-10,429.58,429.58,3,0
B551,C10046,2024-11,406.15,0.0,3,0
B552,C10046,2024-12,404.46,404.46,6,0
B553,C10047,2024-01,275.17,275.17,0,0
B554,C10047,2024-02,236.94,236.94,1,0
B555,C10047,2024-03,243.14,243.14,2,0
B556,C10047,2024-04,249.2,249.2,1,0
B557,C10047,2024-05,255.83,255.83,0,0
B558,C10047,2024-06,235.84,235.84,0,0
B559,C10047,2024-07,238.08,238.08,1,0
B560,C10047,2024-08,236.15,236.15,0,0
B561,C10047,2024-09,251.0,251.0,0,0
B562,C10047,2024-10,233.27,233.27,6,0
B563,C10047,2024-11,189.03,189.03,2,0
B564,C10047,2024-12,256.61,256.61,5,0
B565,C10048,2024-01,276.44,276.44,0,0
B566,C10048,2024-02,215.76,215.76,0,0
B567,C10048,2024-03,276.64,276.64,2,0
B568,C10048,2024-04,257.06,257.06,6,0
B569,C10048,2024-05,270.54,270.54,0,0
B570,C10048,2024-06,237.19,237.19,6,0
B571,C10048,2024-07,288.14,288.14,1,0
B572,C10048,2024-08,248.77,248.77,2,0
B573,C10048,2024-09,247.44,247.44,3,0
B574,C10048,2024-10,283.88,283.88,1,0
B575,C10048,2024-11,246.23,246.23,1,0
B576,C10048,2024-12,272.09,272.09,0,0
B577,C10049,2024-01,417.62,417.62,2,0
B578,C10049,2024-02,422.07,422.07,0,0
B579,C10049,2024-03,399.84,399.84,1,0
B580,C10049,2024-04,399.12,399.12,6,0
